componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),Prato raso (280 g),codigo_alimento,nome_alimento
Energia,kJ,578,288,635,519,1155,1617,BRC0236A,Nome não encontrado
Energia,kcal,137,68,150,123,274,383,BRC0236A,Nome não encontrado
Umidade,g,"67,4","33,7","74,1","60,6",134,188,BRC0236A,Nome não encontrado
Carboidrato total,g,"24,4","12,2","26,8","22,0","48,8","68,3",BRC0236A,Nome não encontrado
Carboidrato disponível,g,"21,5","10,8","23,7","19,4","43,1","60,3",BRC0236A,Nome não encontrado
Proteína,g,"5,02","2,51","5,52","4,51","10,0","14,0",BRC0236A,Nome não encontrado
Lipídios,g,"2,79","1,40","3,07","2,51","5,58","7,81",BRC0236A,Nome não encontrado
Fibra alimentar,g,"2,86","1,43","3,15","2,57","5,72","8,01",BRC0236A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0236A,Nome não encontrado
Cinzas,g,"0,43","0,21","0,47","0,39","0,86","1,20",BRC0236A,Nome não encontrado
Colesterol,mg,"3,71","1,86","4,08","3,34","7,42","10,4",BRC0236A,Nome não encontrado
Ácidos graxos saturados,g,"1,16","0,58","1,28","1,04","2,32","3,25",BRC0236A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,63","0,31","0,69","0,56","1,25","1,76",BRC0236A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,75","0,38","0,83","0,68","1,50","2,10",BRC0236A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01","0,01","0,02","0,02",BRC0236A,Nome não encontrado
Cálcio,mg,"39,4","19,7","43,3","35,4","78,7",110,BRC0236A,Nome não encontrado
Ferro,mg,"0,47","0,23","0,51","0,42","0,93","1,30",BRC0236A,Nome não encontrado
Sódio,mg,"21,3","10,6","23,4","19,2","42,6","59,6",BRC0236A,Nome não encontrado
Magnésio,mg,"13,2","6,59","14,5","11,9","26,4","36,9",BRC0236A,Nome não encontrado
Fósforo,mg,"66,1","33,1","72,7","59,5",132,185,BRC0236A,Nome não encontrado
Potássio,mg,"78,5","39,2","86,3","70,6",156,219,BRC0236A,Nome não encontrado
Manganês,mg,"0,23","0,11","0,25","0,20","0,45","0,64",BRC0236A,Nome não encontrado
Zinco,mg,"0,45","0,23","0,50","0,41","0,91","1,27",BRC0236A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,07","0,06","0,13","0,18",BRC0236A,Nome não encontrado
Selênio,mcg,"3,67","1,83","4,03","3,30","7,34","10,3",BRC0236A,Nome não encontrado
Vitamina A (RE),mcg,"19,8","9,89","21,8","17,8","39,6","55,4",BRC0236A,Nome não encontrado
Vitamina A (RAE),mcg,"19,5","9,77","21,5","17,6","39,1","54,7",BRC0236A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0236A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,35","0,18","0,39","0,32","0,70","0,98",BRC0236A,Nome não encontrado
Tiamina,mg,"0,09","0,05","0,10","0,08","0,18","0,25",BRC0236A,Nome não encontrado
Riboflavina,mg,"0,11","0,06","0,12","0,10","0,22","0,31",BRC0236A,Nome não encontrado
Niacina,mg,"2,03","1,02","2,23","1,83","4,06","5,69",BRC0236A,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,07","0,06","0,13","0,18",BRC0236A,Nome não encontrado
Vitamina B12,mcg,"0,11","0,05","0,12","0,10","0,21","0,30",BRC0236A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0236A,Nome não encontrado
Equivalente de folato,mcg,"18,7","9,35","20,6","16,8","37,4","52,4",BRC0236A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0236A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0236A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0236A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0236A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0236A,Nome não encontrado
