componente,unidade,Valor por 100g,Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,403,181,BRC0673A,Nome não encontrado
Energia,kcal,96,43,BRC0673A,Nome não encontrado
Umidade,g,"75,5","34,0",BRC0673A,Nome não encontrado
Carboidrato total,g,"17,3","7,81",BRC0673A,Nome não encontrado
Carboidrato disponível,g,"14,4","6,49",BRC0673A,Nome não encontrado
Proteína,g,"4,20","1,89",BRC0673A,Nome não encontrado
Lipídios,g,"1,71","0,77",BRC0673A,Nome não encontrado
Fibra alimentar,g,"2,92","1,31",BRC0673A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0673A,Nome não encontrado
Cinzas,g,"1,13","0,51",BRC0673A,Nome não encontrado
Colesterol,mg,"6,33","2,85",BRC0673A,Nome não encontrado
Ácidos graxos saturados,g,"0,49","0,22",BRC0673A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,58","0,26",BRC0673A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","0,27",BRC0673A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0673A,Nome não encontrado
Cálcio,mg,"3,67","1,65",BRC0673A,Nome não encontrado
Ferro,mg,"1,55","0,70",BRC0673A,Nome não encontrado
Sódio,mg,440,198,BRC0673A,Nome não encontrado
Magnésio,mg,"7,29","3,28",BRC0673A,Nome não encontrado
Fósforo,mg,"36,4","16,4",BRC0673A,Nome não encontrado
Potássio,mg,210,"94,5",BRC0673A,Nome não encontrado
Manganês,mg,"0,18","0,08",BRC0673A,Nome não encontrado
Zinco,mg,"0,73","0,33",BRC0673A,Nome não encontrado
Cobre,mg,"0,06","0,03",BRC0673A,Nome não encontrado
Selênio,mcg,"1,38","0,62",BRC0673A,Nome não encontrado
Vitamina A (RE),mcg,"25,6","11,5",BRC0673A,Nome não encontrado
Vitamina A (RAE),mcg,"12,9","5,81",BRC0673A,Nome não encontrado
Vitamina D,mcg,"0,01","0,00",BRC0673A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,07","0,48",BRC0673A,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0673A,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0673A,Nome não encontrado
Niacina,mg,"0,34","0,15",BRC0673A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0673A,Nome não encontrado
Vitamina B12,mcg,"0,29","0,13",BRC0673A,Nome não encontrado
Vitamina C,mg,"0,87","0,39",BRC0673A,Nome não encontrado
Equivalente de folato,mcg,"45,4","20,4",BRC0673A,Nome não encontrado
Sal de adição,g,"0,47","0,21",BRC0673A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0673A,Nome não encontrado
Gordura de adição,g,-,-,BRC0673A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0673A,Nome não encontrado
Proteína animal,g,-,-,BRC0673A,Nome não encontrado
