componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,428,235,171,BRC0551A,Nome não encontrado
Energia,kcal,102,56,40,BRC0551A,Nome não encontrado
Umidade,g,"75,7","41,6","30,3",BRC0551A,Nome não encontrado
Carboidrato total,g,"17,9","9,85","7,16",BRC0551A,Nome não encontrado
Carboidrato disponível,g,"15,6","8,56","6,22",BRC0551A,Nome não encontrado
Proteína,g,"2,54","1,40","1,01",BRC0551A,Nome não encontrado
Lipídios,g,"2,76","1,52","1,10",BRC0551A,Nome não encontrado
Fibra alimentar,g,"2,35","1,29","0,94",BRC0551A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0551A,Nome não encontrado
Cinzas,g,"1,07","0,59","0,43",BRC0551A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0551A,Nome não encontrado
Ácidos graxos saturados,g,"0,52","0,28","0,21",BRC0551A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,71","0,39","0,28",BRC0551A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,43","0,79","0,57",BRC0551A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0551A,Nome não encontrado
Cálcio,mg,"60,9","33,5","24,4",BRC0551A,Nome não encontrado
Ferro,mg,"0,24","0,13","0,10",BRC0551A,Nome não encontrado
Sódio,mg,190,104,"76,3",BRC0551A,Nome não encontrado
Magnésio,mg,"26,7","14,7","10,7",BRC0551A,Nome não encontrado
Fósforo,mg,"43,5","23,9","17,4",BRC0551A,Nome não encontrado
Potássio,mg,188,103,"75,3",BRC0551A,Nome não encontrado
Manganês,mg,"0,25","0,14","0,10",BRC0551A,Nome não encontrado
Zinco,mg,"0,26","0,14","0,10",BRC0551A,Nome não encontrado
Cobre,mg,"0,03","0,02","0,01",BRC0551A,Nome não encontrado
Selênio,mcg,"0,64","0,35","0,26",BRC0551A,Nome não encontrado
Vitamina A (RE),mcg,114,"63,0","45,8",BRC0551A,Nome não encontrado
Vitamina A (RAE),mcg,"57,2","31,5","22,9",BRC0551A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0551A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,66","0,36","0,26",BRC0551A,Nome não encontrado
Tiamina,mg,"0,09","0,05","0,03",BRC0551A,Nome não encontrado
Riboflavina,mg,"0,05","0,03","0,02",BRC0551A,Nome não encontrado
Niacina,mg,"0,34","0,19","0,14",BRC0551A,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,03",BRC0551A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0551A,Nome não encontrado
Vitamina C,mg,"9,55","5,25","3,82",BRC0551A,Nome não encontrado
Equivalente de folato,mcg,"6,91","3,80","2,76",BRC0551A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0551A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0551A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0551A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0551A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0551A,Nome não encontrado
