componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (6 g),codigo_alimento,nome_alimento
Energia,kJ,1723,430,103,BRC0777F,Nome não encontrado
Energia,kcal,416,103,24,BRC0777F,Nome não encontrado
Umidade,g,"36,8","9,19","2,21",BRC0777F,Nome não encontrado
Carboidrato total,g,"0,74","0,19","0,04",BRC0777F,Nome não encontrado
Carboidrato disponível,g,"0,61","0,15","0,04",BRC0777F,Nome não encontrado
Proteína,g,"25,8","6,46","1,55",BRC0777F,Nome não encontrado
Lipídios,g,"34,4","8,60","2,06",BRC0777F,Nome não encontrado
Fibra alimentar,g,"0,14","0,03","0,01",BRC0777F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0777F,Nome não encontrado
Cinzas,g,"2,22","0,55","0,13",BRC0777F,Nome não encontrado
Colesterol,mg,284,"71,1","17,1",BRC0777F,Nome não encontrado
Ácidos graxos saturados,g,"8,93","2,23","0,54",BRC0777F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"11,5","2,88","0,69",BRC0777F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,79","1,70","0,41",BRC0777F,Nome não encontrado
Ácidos graxos trans,g,"0,17","0,04","0,01",BRC0777F,Nome não encontrado
Cálcio,mg,"11,7","2,93","0,70",BRC0777F,Nome não encontrado
Ferro,mg,"8,04","2,01","0,48",BRC0777F,Nome não encontrado
Sódio,mg,366,"91,5","22,0",BRC0777F,Nome não encontrado
Magnésio,mg,"39,7","9,92","2,38",BRC0777F,Nome não encontrado
Fósforo,mg,382,"95,6","23,0",BRC0777F,Nome não encontrado
Potássio,mg,446,111,"26,8",BRC0777F,Nome não encontrado
Manganês,mg,"0,11","0,03","0,01",BRC0777F,Nome não encontrado
Zinco,mg,"4,26","1,07","0,26",BRC0777F,Nome não encontrado
Cobre,mg,"0,39","0,10","0,02",BRC0777F,Nome não encontrado
Selênio,mcg,"9,89","2,47","0,59",BRC0777F,Nome não encontrado
Vitamina A (RE),mcg,"15,1","3,77","0,90",BRC0777F,Nome não encontrado
Vitamina A (RAE),mcg,"15,1","3,77","0,90",BRC0777F,Nome não encontrado
Vitamina D,mcg,,,,BRC0777F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0777F,Nome não encontrado
Tiamina,mg,"0,40","0,10","0,02",BRC0777F,Nome não encontrado
Riboflavina,mg,"0,69","0,17","0,04",BRC0777F,Nome não encontrado
Niacina,mg,"5,97","1,49","0,36",BRC0777F,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0777F,Nome não encontrado
Vitamina B12,mcg,"14,2","3,55","0,85",BRC0777F,Nome não encontrado
Vitamina C,mg,"6,32","1,58","0,38",BRC0777F,Nome não encontrado
Equivalente de folato,mcg,116,"29,1","6,98",BRC0777F,Nome não encontrado
Sal de adição,g,"0,45","0,11","0,03",BRC0777F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0777F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0777F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0777F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0777F,Nome não encontrado
