componente,unidade,Valor por 100g,Concha cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,533,532,BRC0372E,Nome não encontrado
Energia,kcal,128,127,BRC0372E,Nome não encontrado
Umidade,g,"76,0","76,0",BRC0372E,Nome não encontrado
Carboidrato total,g,"2,96","2,96",BRC0372E,Nome não encontrado
Carboidrato disponível,g,"2,56","2,56",BRC0372E,Nome não encontrado
Proteína,g,"11,4","11,4",BRC0372E,Nome não encontrado
Lipídios,g,"7,89","7,89",BRC0372E,Nome não encontrado
Fibra alimentar,g,"0,40","0,40",BRC0372E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0372E,Nome não encontrado
Cinzas,g,"1,74","1,74",BRC0372E,Nome não encontrado
Colesterol,mg,159,159,BRC0372E,Nome não encontrado
Ácidos graxos saturados,g,"3,17","3,17",BRC0372E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,67","1,67",BRC0372E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,26","1,26",BRC0372E,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,15",BRC0372E,Nome não encontrado
Cálcio,mg,"75,0","75,0",BRC0372E,Nome não encontrado
Ferro,mg,"1,49","1,49",BRC0372E,Nome não encontrado
Sódio,mg,474,474,BRC0372E,Nome não encontrado
Magnésio,mg,"15,9","15,9",BRC0372E,Nome não encontrado
Fósforo,mg,194,194,BRC0372E,Nome não encontrado
Potássio,mg,141,141,BRC0372E,Nome não encontrado
Manganês,mg,"0,06","0,06",BRC0372E,Nome não encontrado
Zinco,mg,"0,80","0,80",BRC0372E,Nome não encontrado
Cobre,mg,"0,26","0,26",BRC0372E,Nome não encontrado
Selênio,mcg,"1,22","1,22",BRC0372E,Nome não encontrado
Vitamina A (RE),mcg,"45,9","45,9",BRC0372E,Nome não encontrado
Vitamina A (RAE),mcg,"38,2","38,2",BRC0372E,Nome não encontrado
Vitamina D,mcg,"0,28","0,28",BRC0372E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,28","1,28",BRC0372E,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0372E,Nome não encontrado
Riboflavina,mg,"0,03","0,03",BRC0372E,Nome não encontrado
Niacina,mg,"0,03","0,03",BRC0372E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0372E,Nome não encontrado
Vitamina B12,mcg,"0,98","0,98",BRC0372E,Nome não encontrado
Vitamina C,mg,"2,79","2,79",BRC0372E,Nome não encontrado
Equivalente de folato,mcg,"13,6","13,6",BRC0372E,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0372E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0372E,Nome não encontrado
Gordura de adição,g,-,-,BRC0372E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0372E,Nome não encontrado
Proteína animal,g,-,-,BRC0372E,Nome não encontrado
