componente,unidade,Valor por 100g,Colher sopa rasa (20 g),codigo_alimento,nome_alimento
Energia,kJ,846,169,BRC0037K,Nome não encontrado
Energia,kcal,202,40,BRC0037K,Nome não encontrado
Umidade,g,"59,4","11,9",BRC0037K,Nome não encontrado
Carboidrato total,g,"28,7","5,74",BRC0037K,Nome não encontrado
Carboidrato disponível,g,"28,7","5,74",BRC0037K,Nome não encontrado
Proteína,g,"3,00","0,60",BRC0037K,Nome não encontrado
Lipídios,g,"8,30","1,66",BRC0037K,Nome não encontrado
Fibra alimentar,g,,,BRC0037K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0037K,Nome não encontrado
Cinzas,g,"0,60","0,12",BRC0037K,Nome não encontrado
Colesterol,mg,,,BRC0037K,Nome não encontrado
Ácidos graxos saturados,g,"4,83","0,97",BRC0037K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,47","0,49",BRC0037K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,02",BRC0037K,Nome não encontrado
Ácidos graxos trans,g,"1,40","0,28",BRC0037K,Nome não encontrado
Cálcio,mg,"0,84","0,17",BRC0037K,Nome não encontrado
Ferro,mg,"0,11","0,02",BRC0037K,Nome não encontrado
Sódio,mg,"51,9","10,4",BRC0037K,Nome não encontrado
Magnésio,mg,"0,42","0,08",BRC0037K,Nome não encontrado
Fósforo,mg,120,"24,1",BRC0037K,Nome não encontrado
Potássio,mg,279,"56,0",BRC0037K,Nome não encontrado
Manganês,mg,,,BRC0037K,Nome não encontrado
Zinco,mg,"0,03","0,01",BRC0037K,Nome não encontrado
Cobre,mg,"0,01","0,00",BRC0037K,Nome não encontrado
Selênio,mcg,,,BRC0037K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0037K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0037K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0037K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,06",BRC0037K,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0037K,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0037K,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0037K,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0037K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0037K,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0037K,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0037K,Nome não encontrado
Sal de adição,g,,,BRC0037K,Nome não encontrado
Açúcar de adição,g,,,BRC0037K,Nome não encontrado
Gordura de adição,g,,,BRC0037K,Nome não encontrado
Proteína vegetal,g,,,BRC0037K,Nome não encontrado
Proteína animal,g,,,BRC0037K,Nome não encontrado
