componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,198,476,327,BRC0139N,Nome não encontrado
Energia,kcal,47,113,77,BRC0139N,Nome não encontrado
Umidade,g,"89,7",215,148,BRC0139N,Nome não encontrado
Carboidrato total,g,"4,50","10,8","7,43",BRC0139N,Nome não encontrado
Carboidrato disponível,g,"4,50","10,8","7,43",BRC0139N,Nome não encontrado
Proteína,g,"3,23","7,75","5,33",BRC0139N,Nome não encontrado
Lipídios,g,"1,81","4,34","2,99",BRC0139N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0139N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0139N,Nome não encontrado
Cinzas,g,"0,70","1,68","1,16",BRC0139N,Nome não encontrado
Colesterol,mg,"5,74","13,8","9,47",BRC0139N,Nome não encontrado
Ácidos graxos saturados,g,"1,10","2,64","1,82",BRC0139N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,48","1,15","0,79",BRC0139N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,07","0,05",BRC0139N,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,14","0,10",BRC0139N,Nome não encontrado
Cálcio,mg,"94,2",226,155,BRC0139N,Nome não encontrado
Ferro,mg,"0,10","0,24","0,17",BRC0139N,Nome não encontrado
Sódio,mg,"34,2","82,1","56,4",BRC0139N,Nome não encontrado
Magnésio,mg,"8,20","19,7","13,5",BRC0139N,Nome não encontrado
Fósforo,mg,"13,2","31,6","21,7",BRC0139N,Nome não encontrado
Potássio,mg,"12,0","28,8","19,8",BRC0139N,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0139N,Nome não encontrado
Zinco,mg,"2,73","6,55","4,50",BRC0139N,Nome não encontrado
Cobre,mg,"0,11","0,26","0,18",BRC0139N,Nome não encontrado
Selênio,mcg,"3,46","8,30","5,71",BRC0139N,Nome não encontrado
Vitamina A (RE),mcg,"24,3","58,3","40,1",BRC0139N,Nome não encontrado
Vitamina A (RAE),mcg,"24,3","58,3","40,1",BRC0139N,Nome não encontrado
Vitamina D,mcg,,,,BRC0139N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,02","0,02",BRC0139N,Nome não encontrado
Tiamina,mg,"0,03","0,07","0,05",BRC0139N,Nome não encontrado
Riboflavina,mg,"0,11","0,26","0,18",BRC0139N,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0139N,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0139N,Nome não encontrado
Vitamina B12,mcg,"0,33","0,79","0,54",BRC0139N,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0139N,Nome não encontrado
Equivalente de folato,mcg,"4,19","10,1","6,91",BRC0139N,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0139N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0139N,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0139N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0139N,Nome não encontrado
Proteína animal,g,"3,15","7,56","5,20",BRC0139N,Nome não encontrado
