componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,497,248,546,446,BRC0606A,Nome não encontrado
Energia,kcal,118,58,129,105,BRC0606A,Nome não encontrado
Umidade,g,"71,0","35,5","78,1","63,9",BRC0606A,Nome não encontrado
Carboidrato total,g,"19,5","9,76","21,5","17,6",BRC0606A,Nome não encontrado
Carboidrato disponível,g,"16,7","8,35","18,4","15,0",BRC0606A,Nome não encontrado
Proteína,g,"7,03","3,52","7,73","6,33",BRC0606A,Nome não encontrado
Lipídios,g,"1,91","0,95","2,10","1,72",BRC0606A,Nome não encontrado
Fibra alimentar,g,"2,82","1,41","3,10","2,54",BRC0606A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0606A,Nome não encontrado
Cinzas,g,"0,50","0,25","0,55","0,45",BRC0606A,Nome não encontrado
Colesterol,mg,"9,34","4,67","10,3","8,40",BRC0606A,Nome não encontrado
Ácidos graxos saturados,g,"0,43","0,22","0,47","0,39",BRC0606A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,21","0,47","0,39",BRC0606A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,91","0,45","1,00","0,81",BRC0606A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01","0,01",BRC0606A,Nome não encontrado
Cálcio,mg,"12,4","6,20","13,6","11,2",BRC0606A,Nome não encontrado
Ferro,mg,"0,58","0,29","0,64","0,52",BRC0606A,Nome não encontrado
Sódio,mg,"25,6","12,8","28,2","23,0",BRC0606A,Nome não encontrado
Magnésio,mg,"13,4","6,68","14,7","12,0",BRC0606A,Nome não encontrado
Fósforo,mg,"75,8","37,9","83,3","68,2",BRC0606A,Nome não encontrado
Potássio,mg,134,"67,4",148,121,BRC0606A,Nome não encontrado
Manganês,mg,"0,25","0,12","0,27","0,22",BRC0606A,Nome não encontrado
Zinco,mg,"0,56","0,28","0,61","0,50",BRC0606A,Nome não encontrado
Cobre,mg,"0,17","0,08","0,18","0,15",BRC0606A,Nome não encontrado
Selênio,mcg,"6,11","3,06","6,72","5,50",BRC0606A,Nome não encontrado
Vitamina A (RE),mcg,"11,9","5,94","13,1","10,7",BRC0606A,Nome não encontrado
Vitamina A (RAE),mcg,"5,94","2,97","6,54","5,35",BRC0606A,Nome não encontrado
Vitamina D,mcg,"0,07","0,04","0,08","0,06",BRC0606A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,14","0,31","0,25",BRC0606A,Nome não encontrado
Tiamina,mg,"0,09","0,04","0,09","0,08",BRC0606A,Nome não encontrado
Riboflavina,mg,"0,08","0,04","0,08","0,07",BRC0606A,Nome não encontrado
Niacina,mg,"4,39","2,20","4,83","3,95",BRC0606A,Nome não encontrado
Vitamina B6,mg,"0,36","0,18","0,39","0,32",BRC0606A,Nome não encontrado
Vitamina B12,mcg,"0,02","0,01","0,02","0,02",BRC0606A,Nome não encontrado
Vitamina C,mg,"1,38","0,69","1,52","1,24",BRC0606A,Nome não encontrado
Equivalente de folato,mcg,"17,9","8,94","19,7","16,1",BRC0606A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0606A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0606A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0606A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0606A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0606A,Nome não encontrado
