componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,628,345,BRC0887A,Nome não encontrado
Energia,kcal,150,82,BRC0887A,Nome não encontrado
Umidade,g,"67,7","37,2",BRC0887A,Nome não encontrado
Carboidrato total,g,"11,5","6,34",BRC0887A,Nome não encontrado
Carboidrato disponível,g,"10,0","5,52",BRC0887A,Nome não encontrado
Proteína,g,"10,8","5,93",BRC0887A,Nome não encontrado
Lipídios,g,"7,09","3,90",BRC0887A,Nome não encontrado
Fibra alimentar,g,"1,50","0,82",BRC0887A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0887A,Nome não encontrado
Cinzas,g,"2,88","1,59",BRC0887A,Nome não encontrado
Colesterol,mg,"35,9","19,8",BRC0887A,Nome não encontrado
Ácidos graxos saturados,g,"3,19","1,75",BRC0887A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,99","1,64",BRC0887A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,11",BRC0887A,Nome não encontrado
Ácidos graxos trans,g,"0,21","0,11",BRC0887A,Nome não encontrado
Cálcio,mg,"13,3","7,32",BRC0887A,Nome não encontrado
Ferro,mg,"0,95","0,52",BRC0887A,Nome não encontrado
Sódio,mg,1801,991,BRC0887A,Nome não encontrado
Magnésio,mg,"9,25","5,09",BRC0887A,Nome não encontrado
Fósforo,mg,"47,4","26,1",BRC0887A,Nome não encontrado
Potássio,mg,"86,8","47,7",BRC0887A,Nome não encontrado
Manganês,mg,"0,18","0,10",BRC0887A,Nome não encontrado
Zinco,mg,"2,66","1,46",BRC0887A,Nome não encontrado
Cobre,mg,"0,08","0,04",BRC0887A,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0887A,Nome não encontrado
Vitamina A (RE),mcg,"9,81","5,40",BRC0887A,Nome não encontrado
Vitamina A (RAE),mcg,"4,91","2,70",BRC0887A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0887A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,17",BRC0887A,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0887A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0887A,Nome não encontrado
Niacina,mg,"1,60","0,88",BRC0887A,Nome não encontrado
Vitamina B6,mg,"0,07","0,04",BRC0887A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0887A,Nome não encontrado
Vitamina C,mg,"1,08","0,59",BRC0887A,Nome não encontrado
Equivalente de folato,mcg,"12,9","7,12",BRC0887A,Nome não encontrado
Sal de adição,g,"0,47","0,26",BRC0887A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0887A,Nome não encontrado
Gordura de adição,g,-,-,BRC0887A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0887A,Nome não encontrado
Proteína animal,g,-,-,BRC0887A,Nome não encontrado
