componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,344,189,137,BRC0879A,Nome não encontrado
Energia,kcal,82,45,32,BRC0879A,Nome não encontrado
Umidade,g,"82,5","45,4","33,0",BRC0879A,Nome não encontrado
Carboidrato total,g,"10,2","5,59","4,07",BRC0879A,Nome não encontrado
Carboidrato disponível,g,"8,14","4,48","3,26",BRC0879A,Nome não encontrado
Proteína,g,"2,29","1,26","0,92",BRC0879A,Nome não encontrado
Lipídios,g,"4,06","2,23","1,63",BRC0879A,Nome não encontrado
Fibra alimentar,g,"2,02","1,11","0,81",BRC0879A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0879A,Nome não encontrado
Cinzas,g,"0,96","0,53","0,38",BRC0879A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0879A,Nome não encontrado
Ácidos graxos saturados,g,"0,59","0,33","0,24",BRC0879A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,60","1,43","1,04",BRC0879A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,78","0,43","0,31",BRC0879A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0879A,Nome não encontrado
Cálcio,mg,"26,5","14,6","10,6",BRC0879A,Nome não encontrado
Ferro,mg,"1,11","0,61","0,44",BRC0879A,Nome não encontrado
Sódio,mg,131,"72,5","52,7",BRC0879A,Nome não encontrado
Magnésio,mg,"29,7","16,3","11,9",BRC0879A,Nome não encontrado
Fósforo,mg,"67,2","37,0","26,9",BRC0879A,Nome não encontrado
Potássio,mg,204,112,"81,9",BRC0879A,Nome não encontrado
Manganês,mg,"0,17","0,10","0,07",BRC0879A,Nome não encontrado
Zinco,mg,"0,55","0,30","0,22",BRC0879A,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02",BRC0879A,Nome não encontrado
Selênio,mcg,"0,11","0,06","0,04",BRC0879A,Nome não encontrado
Vitamina A (RE),mcg,"76,4","42,0","30,5",BRC0879A,Nome não encontrado
Vitamina A (RAE),mcg,"42,8","23,5","17,1",BRC0879A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0879A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,96","0,53","0,38",BRC0879A,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,03",BRC0879A,Nome não encontrado
Riboflavina,mg,"0,06","0,03","0,02",BRC0879A,Nome não encontrado
Niacina,mg,"0,20","0,11","0,08",BRC0879A,Nome não encontrado
Vitamina B6,mg,"0,10","0,05","0,04",BRC0879A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0879A,Nome não encontrado
Vitamina C,mg,"9,16","5,04","3,66",BRC0879A,Nome não encontrado
Equivalente de folato,mcg,"30,8","17,0","12,3",BRC0879A,Nome não encontrado
Sal de adição,g,"0,32","0,18","0,13",BRC0879A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0879A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0879A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0879A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0879A,Nome não encontrado
