componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,564,338,BRC0657A,Nome não encontrado
Energia,kcal,135,80,BRC0657A,Nome não encontrado
Umidade,g,"73,5","44,1",BRC0657A,Nome não encontrado
Carboidrato total,g,"7,67","4,60",BRC0657A,Nome não encontrado
Carboidrato disponível,g,"7,41","4,44",BRC0657A,Nome não encontrado
Proteína,g,"10,2","6,14",BRC0657A,Nome não encontrado
Lipídios,g,"7,06","4,24",BRC0657A,Nome não encontrado
Fibra alimentar,g,"0,26","0,16",BRC0657A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0657A,Nome não encontrado
Cinzas,g,"1,55","0,93",BRC0657A,Nome não encontrado
Colesterol,mg,134,"80,9",BRC0657A,Nome não encontrado
Ácidos graxos saturados,g,"3,42","2,05",BRC0657A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,88","1,13",BRC0657A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,94","0,57",BRC0657A,Nome não encontrado
Ácidos graxos trans,g,"0,11","0,07",BRC0657A,Nome não encontrado
Cálcio,mg,"95,5","57,3",BRC0657A,Nome não encontrado
Ferro,mg,"1,27","0,76",BRC0657A,Nome não encontrado
Sódio,mg,380,228,BRC0657A,Nome não encontrado
Magnésio,mg,"15,8","9,46",BRC0657A,Nome não encontrado
Fósforo,mg,162,"97,8",BRC0657A,Nome não encontrado
Potássio,mg,138,"83,4",BRC0657A,Nome não encontrado
Manganês,mg,"0,09","0,05",BRC0657A,Nome não encontrado
Zinco,mg,"0,78","0,47",BRC0657A,Nome não encontrado
Cobre,mg,"0,18","0,11",BRC0657A,Nome não encontrado
Selênio,mcg,"4,73","2,84",BRC0657A,Nome não encontrado
Vitamina A (RE),mcg,"76,2","45,7",BRC0657A,Nome não encontrado
Vitamina A (RAE),mcg,"73,9","44,3",BRC0657A,Nome não encontrado
Vitamina D,mcg,"0,79","0,48",BRC0657A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,05","0,63",BRC0657A,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0657A,Nome não encontrado
Riboflavina,mg,"0,13","0,08",BRC0657A,Nome não encontrado
Niacina,mg,"0,78","0,47",BRC0657A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0657A,Nome não encontrado
Vitamina B12,mcg,"0,84","0,51",BRC0657A,Nome não encontrado
Vitamina C,mg,"0,37","0,22",BRC0657A,Nome não encontrado
Equivalente de folato,mcg,"14,2","8,55",BRC0657A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0657A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0657A,Nome não encontrado
Gordura de adição,g,-,-,BRC0657A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0657A,Nome não encontrado
Proteína animal,g,-,-,BRC0657A,Nome não encontrado
