componente,unidade,Valor por 100g,Colher chá cheia (4 g),Colher chá rasa (2.5 g),Colher sobremesa cheia (13 g),Colher sobremesa rasa (7 g),Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1571,62,39,204,109,314,157,BRC0093A,Nome não encontrado
Energia,kcal,370,14,9,48,25,74,37,BRC0093A,Nome não encontrado
Umidade,g,"5,72","0,23","0,14","0,74","0,40","1,14","0,57",BRC0093A,Nome não encontrado
Carboidrato total,g,"86,1","3,44","2,15","11,2","6,03","17,2","8,61",BRC0093A,Nome não encontrado
Carboidrato disponível,g,"82,9","3,32","2,07","10,8","5,80","16,6","8,29",BRC0093A,Nome não encontrado
Proteína,g,"5,18","0,21","0,13","0,67","0,36","1,04","0,52",BRC0093A,Nome não encontrado
Lipídios,g,"1,31","0,05","0,03","0,17","0,09","0,26","0,13",BRC0093A,Nome não encontrado
Fibra alimentar,g,"3,20","0,13","0,08","0,42","0,22","0,64","0,32",BRC0093A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0093A,Nome não encontrado
Cinzas,g,"1,70","0,07","0,04","0,22","0,12","0,34","0,17",BRC0093A,Nome não encontrado
Colesterol,mg,,,,,,,,BRC0093A,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,01","0,01","0,04","0,02","0,06","0,03",BRC0093A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,01","0,01","0,04","0,02","0,06","0,03",BRC0093A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","0,02","0,02","0,08","0,04","0,12","0,06",BRC0093A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,traços,traços,traços,BRC0093A,Nome não encontrado
Cálcio,mg,412,"16,5","10,3","53,6","28,8","82,4","41,2",BRC0093A,Nome não encontrado
Ferro,mg,"15,5","0,62","0,39","2,01","1,08","3,10","1,55",BRC0093A,Nome não encontrado
Sódio,mg,542,"21,7","13,6","70,6","38,0",108,"54,3",BRC0093A,Nome não encontrado
Magnésio,mg,"30,7","1,23","0,77","3,99","2,15","6,13","3,07",BRC0093A,Nome não encontrado
Fósforo,mg,315,"12,6","7,88","41,0","22,1","63,0","31,5",BRC0093A,Nome não encontrado
Potássio,mg,123,"4,92","3,08","16,0","8,61","24,6","12,3",BRC0093A,Nome não encontrado
Manganês,mg,"0,65","0,03","0,02","0,08","0,05","0,13","0,06",BRC0093A,Nome não encontrado
Zinco,mg,"4,59","0,18","0,11","0,60","0,32","0,92","0,46",BRC0093A,Nome não encontrado
Cobre,mg,"0,07","0,00","0,00","0,01","0,01","0,01","0,01",BRC0093A,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0093A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0093A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0093A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0093A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,09","0,04","0,03","0,14","0,08","0,22","0,11",BRC0093A,Nome não encontrado
Tiamina,mg,"2,16","0,09","0,05","0,28","0,15","0,43","0,22",BRC0093A,Nome não encontrado
Riboflavina,mg,"0,34","0,01","0,01","0,04","0,02","0,07","0,03",BRC0093A,Nome não encontrado
Niacina,mg,"12,8","0,51","0,32","1,66","0,89","2,55","1,28",BRC0093A,Nome não encontrado
Vitamina B6,mg,"2,93","0,12","0,07","0,38","0,21","0,59","0,29",BRC0093A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0093A,Nome não encontrado
Vitamina C,mg,"54,7","2,19","1,37","7,11","3,83","10,9","5,47",BRC0093A,Nome não encontrado
Equivalente de folato,mcg,"43,5","1,74","1,09","5,65","3,04","8,69","4,35",BRC0093A,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0093A,Nome não encontrado
Açúcar de adição,g,,,,,,,,BRC0093A,Nome não encontrado
Gordura de adição,g,,,,,,,,BRC0093A,Nome não encontrado
Proteína vegetal,g,,,,,,,,BRC0093A,Nome não encontrado
Proteína animal,g,,,,,,,,BRC0093A,Nome não encontrado
