componente,unidade,Valor por 100g,Porção Média (30 g),codigo_alimento,nome_alimento
Energia,kJ,2546,763,BRC0001U,Nome não encontrado
Energia,kcal,616,184,BRC0001U,Nome não encontrado
Umidade,g,"3,59","1,08",BRC0001U,Nome não encontrado
Carboidrato total,g,"21,8","6,54",BRC0001U,Nome não encontrado
Carboidrato disponível,g,"10,7","3,22",BRC0001U,Nome não encontrado
Proteína,g,"20,6","6,18",BRC0001U,Nome não encontrado
Lipídios,g,"52,0","15,6",BRC0001U,Nome não encontrado
Fibra alimentar,g,"11,1","3,32",BRC0001U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0001U,Nome não encontrado
Cinzas,g,"1,98","0,60",BRC0001U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0001U,Nome não encontrado
Ácidos graxos saturados,g,"4,55","1,37",BRC0001U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"30,6","9,18",BRC0001U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"15,4","4,61",BRC0001U,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,04",BRC0001U,Nome não encontrado
Cálcio,mg,235,"70,7",BRC0001U,Nome não encontrado
Ferro,mg,"3,04","0,91",BRC0001U,Nome não encontrado
Sódio,mg,277,"83,1",BRC0001U,Nome não encontrado
Magnésio,mg,220,"66,3",BRC0001U,Nome não encontrado
Fósforo,mg,490,147,BRC0001U,Nome não encontrado
Potássio,mg,636,190,BRC0001U,Nome não encontrado
Manganês,mg,"1,94","0,58",BRC0001U,Nome não encontrado
Zinco,mg,"2,56","0,77",BRC0001U,Nome não encontrado
Cobre,mg,"0,93","0,28",BRC0001U,Nome não encontrado
Selênio,mcg,"1,98","0,59",BRC0001U,Nome não encontrado
Vitamina A (RE),mcg,"0,17","0,05",BRC0001U,Nome não encontrado
Vitamina A (RAE),mcg,"0,08","0,02",BRC0001U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0001U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"23,9","7,17",BRC0001U,Nome não encontrado
Tiamina,mg,"0,29","0,09",BRC0001U,Nome não encontrado
Riboflavina,mg,"0,16","0,05",BRC0001U,Nome não encontrado
Niacina,mg,traços,traços,BRC0001U,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0001U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0001U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0001U,Nome não encontrado
Equivalente de folato,mcg,"54,3","16,3",BRC0001U,Nome não encontrado
Sal de adição,g,,,BRC0001U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0001U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0001U,Nome não encontrado
Proteína vegetal,g,"20,6","6,18",BRC0001U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0001U,Nome não encontrado
