componente,unidade,Valor por 100g,Colher sopa cheia (36 g),Colher sopa rasa (16 g),Escumadeira cheia (100 g),Escumadeira rasa (70 g),Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,72,25,11,71,50,35,BRC0165B,Nome não encontrado
Energia,kcal,17,6,2,17,12,8,BRC0165B,Nome não encontrado
Umidade,g,"94,1","33,9","15,1","94,1","65,9","47,1",BRC0165B,Nome não encontrado
Carboidrato total,g,"3,99","1,44","0,64","3,99","2,80","2,00",BRC0165B,Nome não encontrado
Carboidrato disponível,g,"1,57","0,57","0,25","1,57","1,10","0,79",BRC0165B,Nome não encontrado
Proteína,g,"1,22","0,44","0,19","1,22","0,85","0,61",BRC0165B,Nome não encontrado
Lipídios,g,"0,14","0,05","0,02","0,14","0,10","0,07",BRC0165B,Nome não encontrado
Fibra alimentar,g,"2,42","0,87","0,39","2,42","1,70","1,21",BRC0165B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0165B,Nome não encontrado
Cinzas,g,"0,50","0,18","0,08","0,50","0,35","0,25",BRC0165B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0165B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,01","0,03","0,02","0,02",BRC0165B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,00","0,02","0,01","0,01",BRC0165B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,00","0,00","0,01","0,01","0,01",BRC0165B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0165B,Nome não encontrado
Cálcio,mg,"3,16","1,14","0,50","3,16","2,21","1,58",BRC0165B,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,traços,traços,BRC0165B,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,traços,traços,BRC0165B,Nome não encontrado
Magnésio,mg,"1,21","0,43","0,19","1,21","0,85","0,60",BRC0165B,Nome não encontrado
Fósforo,mg,"7,76","2,80","1,24","7,76","5,43","3,88",BRC0165B,Nome não encontrado
Potássio,mg,"68,1","24,5","10,9","68,1","47,6","34,0",BRC0165B,Nome não encontrado
Manganês,mg,"0,01","0,00","0,00","0,01","0,01","0,01",BRC0165B,Nome não encontrado
Zinco,mg,"0,06","0,02","0,01","0,06","0,04","0,03",BRC0165B,Nome não encontrado
Cobre,mg,"0,05","0,02","0,01","0,05","0,04","0,03",BRC0165B,Nome não encontrado
Selênio,mcg,"1,08","0,39","0,17","1,08","0,76","0,54",BRC0165B,Nome não encontrado
Vitamina A (RE),mcg,343,123,"54,9",343,240,171,BRC0165B,Nome não encontrado
Vitamina A (RAE),mcg,171,"61,8","27,5",171,120,"85,8",BRC0165B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0165B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,50","0,54","0,24","1,50","1,05","0,75",BRC0165B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,BRC0165B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0165B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0165B,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01","0,05","0,03","0,02",BRC0165B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0165B,Nome não encontrado
Vitamina C,mg,"6,84","2,46","1,09","6,84","4,78","3,42",BRC0165B,Nome não encontrado
Equivalente de folato,mcg,"5,61","2,02","0,90","5,61","3,92","2,80",BRC0165B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0165B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0165B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0165B,Nome não encontrado
Proteína vegetal,g,"1,22","0,44","0,19","1,22","0,85","0,61",BRC0165B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0165B,Nome não encontrado
