componente,unidade,Valor por 100g,Colher servir rasa (55 g),Colher sopa cheia (38 g),codigo_alimento,nome_alimento
Energia,kJ,192,105,73,BRC0091C,Nome não encontrado
Energia,kcal,45,24,17,BRC0091C,Nome não encontrado
Umidade,g,"87,7","48,3","33,3",BRC0091C,Nome não encontrado
Carboidrato total,g,"11,1","6,11","4,22",BRC0091C,Nome não encontrado
Carboidrato disponível,g,"9,75","5,36","3,71",BRC0091C,Nome não encontrado
Proteína,g,"0,63","0,35","0,24",BRC0091C,Nome não encontrado
Lipídios,g,"0,13","0,07","0,05",BRC0091C,Nome não encontrado
Fibra alimentar,g,"1,35","0,74","0,51",BRC0091C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0091C,Nome não encontrado
Cinzas,g,"0,39","0,21","0,15",BRC0091C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0091C,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,02","0,02",BRC0091C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,01",BRC0091C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,02","0,01",BRC0091C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0091C,Nome não encontrado
Cálcio,mg,"8,31","4,57","3,16",BRC0091C,Nome não encontrado
Ferro,mg,"0,33","0,18","0,13",BRC0091C,Nome não encontrado
Sódio,mg,"4,87","2,68","1,85",BRC0091C,Nome não encontrado
Magnésio,mg,"8,51","4,68","3,23",BRC0091C,Nome não encontrado
Fósforo,mg,"9,24","5,08","3,51",BRC0091C,Nome não encontrado
Potássio,mg,147,"81,0","56,0",BRC0091C,Nome não encontrado
Manganês,mg,"0,03","0,02","0,01",BRC0091C,Nome não encontrado
Zinco,mg,"0,08","0,04","0,03",BRC0091C,Nome não encontrado
Cobre,mg,"0,25","0,14","0,10",BRC0091C,Nome não encontrado
Selênio,mcg,"0,17","0,09","0,06",BRC0091C,Nome não encontrado
Vitamina A (RE),mcg,"61,8","34,0","23,5",BRC0091C,Nome não encontrado
Vitamina A (RAE),mcg,"30,9","17,0","11,7",BRC0091C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0091C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,52","0,28","0,20",BRC0091C,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,00",BRC0091C,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,00",BRC0091C,Nome não encontrado
Niacina,mg,"0,17","0,09","0,07",BRC0091C,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0091C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0091C,Nome não encontrado
Vitamina C,mg,"29,1","16,0","11,1",BRC0091C,Nome não encontrado
Equivalente de folato,mcg,"17,4","9,59","6,63",BRC0091C,Nome não encontrado
Sal de adição,g,,,,BRC0091C,Nome não encontrado
Açúcar de adição,g,,,,BRC0091C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0091C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0091C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0091C,Nome não encontrado
