componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),Colher sopa cheia (30 g),Escumadeira cheia (80 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,337,201,134,100,269,168,BRC0292B,Nome não encontrado
Energia,kcal,80,48,32,24,64,40,BRC0292B,Nome não encontrado
Umidade,g,"81,8","49,1","32,7","24,5","65,4","40,9",BRC0292B,Nome não encontrado
Carboidrato total,g,"13,1","7,87","5,25","3,93","10,5","6,56",BRC0292B,Nome não encontrado
Carboidrato disponível,g,"11,9","7,13","4,75","3,57","9,51","5,94",BRC0292B,Nome não encontrado
Proteína,g,"2,16","1,30","0,86","0,65","1,73","1,08",BRC0292B,Nome não encontrado
Lipídios,g,"2,38","1,43","0,95","0,71","1,90","1,19",BRC0292B,Nome não encontrado
Fibra alimentar,g,"1,23","0,74","0,49","0,37","0,98","0,61",BRC0292B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0292B,Nome não encontrado
Cinzas,g,"0,58","0,35","0,23","0,17","0,46","0,29",BRC0292B,Nome não encontrado
Colesterol,mg,"3,71","2,23","1,48","1,11","2,97","1,86",BRC0292B,Nome não encontrado
Ácidos graxos saturados,g,"1,04","0,62","0,42","0,31","0,83","0,52",BRC0292B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,57","0,34","0,23","0,17","0,46","0,29",BRC0292B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,59","0,36","0,24","0,18","0,47","0,30",BRC0292B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0292B,Nome não encontrado
Cálcio,mg,"35,5","21,3","14,2","10,6","28,4","17,7",BRC0292B,Nome não encontrado
Ferro,mg,"0,27","0,16","0,11","0,08","0,22","0,14",BRC0292B,Nome não encontrado
Sódio,mg,"21,7","13,0","8,68","6,51","17,4","10,8",BRC0292B,Nome não encontrado
Magnésio,mg,"7,95","4,77","3,18","2,39","6,36","3,98",BRC0292B,Nome não encontrado
Fósforo,mg,"47,1","28,3","18,8","14,1","37,7","23,6",BRC0292B,Nome não encontrado
Potássio,mg,227,136,"91,2","68,4",182,113,BRC0292B,Nome não encontrado
Manganês,mg,"0,06","0,04","0,03","0,02","0,05","0,03",BRC0292B,Nome não encontrado
Zinco,mg,"0,29","0,17","0,12","0,09","0,23","0,14",BRC0292B,Nome não encontrado
Cobre,mg,"0,06","0,03","0,02","0,02","0,04","0,03",BRC0292B,Nome não encontrado
Selênio,mcg,"1,72","1,03","0,69","0,52","1,38","0,86",BRC0292B,Nome não encontrado
Vitamina A (RE),mcg,"19,8","11,9","7,91","5,93","15,8","9,89",BRC0292B,Nome não encontrado
Vitamina A (RAE),mcg,"19,5","11,7","7,82","5,86","15,6","9,77",BRC0292B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0292B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,17","0,11","0,08","0,22","0,14",BRC0292B,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02","0,02","0,05","0,03",BRC0292B,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,03","0,02","0,05","0,03",BRC0292B,Nome não encontrado
Niacina,mg,"0,45","0,27","0,18","0,13","0,36","0,22",BRC0292B,Nome não encontrado
Vitamina B6,mg,"0,07","0,04","0,03","0,02","0,06","0,03",BRC0292B,Nome não encontrado
Vitamina B12,mcg,"0,11","0,06","0,04","0,03","0,08","0,05",BRC0292B,Nome não encontrado
Vitamina C,mg,"3,11","1,87","1,25","0,93","2,49","1,56",BRC0292B,Nome não encontrado
Equivalente de folato,mcg,"9,69","5,81","3,88","2,91","7,75","4,84",BRC0292B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0292B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0292B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0292B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0292B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0292B,Nome não encontrado
