componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,1115,891,BRC0203T,Nome não encontrado
Energia,kcal,270,215,BRC0203T,Nome não encontrado
Umidade,g,"50,2","40,2",BRC0203T,Nome não encontrado
Carboidrato total,g,"19,0","15,2",BRC0203T,Nome não encontrado
Carboidrato disponível,g,"9,71","7,77",BRC0203T,Nome não encontrado
Proteína,g,"8,31","6,65",BRC0203T,Nome não encontrado
Lipídios,g,"19,8","15,9",BRC0203T,Nome não encontrado
Fibra alimentar,g,"9,32","7,45",BRC0203T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0203T,Nome não encontrado
Cinzas,g,"2,58","2,07",BRC0203T,Nome não encontrado
Colesterol,mg,"25,4","20,3",BRC0203T,Nome não encontrado
Ácidos graxos saturados,g,"9,06","7,25",BRC0203T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,77","6,21",BRC0203T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,09","1,67",BRC0203T,Nome não encontrado
Ácidos graxos trans,g,,,BRC0203T,Nome não encontrado
Cálcio,mg,123,"99,2",BRC0203T,Nome não encontrado
Ferro,mg,"1,93","1,54",BRC0203T,Nome não encontrado
Sódio,mg,483,386,BRC0203T,Nome não encontrado
Magnésio,mg,"50,9","40,7",BRC0203T,Nome não encontrado
Fósforo,mg,140,112,BRC0203T,Nome não encontrado
Potássio,mg,352,281,BRC0203T,Nome não encontrado
Manganês,mg,"0,59","0,47",BRC0203T,Nome não encontrado
Zinco,mg,"1,19","0,95",BRC0203T,Nome não encontrado
Cobre,mg,"0,23","0,18",BRC0203T,Nome não encontrado
Selênio,mcg,,,BRC0203T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0203T,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0203T,Nome não encontrado
Vitamina D,mcg,,,BRC0203T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0203T,Nome não encontrado
Tiamina,mg,"0,06","0,05",BRC0203T,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0203T,Nome não encontrado
Niacina,mg,traços,traços,BRC0203T,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0203T,Nome não encontrado
Vitamina B12,mcg,,,BRC0203T,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0203T,Nome não encontrado
Equivalente de folato,mcg,,,BRC0203T,Nome não encontrado
Sal de adição,g,"0,45","0,36",BRC0203T,Nome não encontrado
Açúcar de adição,g,,,BRC0203T,Nome não encontrado
Gordura de adição,g,-,-,BRC0203T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0203T,Nome não encontrado
Proteína animal,g,-,-,BRC0203T,Nome não encontrado
