componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,35,69,BRC0148H,Nome não encontrado
Energia,kcal,8,16,BRC0148H,Nome não encontrado
Umidade,g,"97,7",195,BRC0148H,Nome não encontrado
Carboidrato total,g,"2,03","4,07",BRC0148H,Nome não encontrado
Carboidrato disponível,g,"2,03","4,06",BRC0148H,Nome não encontrado
Proteína,g,"0,01","0,02",BRC0148H,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0148H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0148H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0148H,Nome não encontrado
Cinzas,g,"0,26","0,52",BRC0148H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0148H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0148H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0148H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0148H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0148H,Nome não encontrado
Cálcio,mg,"26,2","52,4",BRC0148H,Nome não encontrado
Ferro,mg,"0,00","0,00",BRC0148H,Nome não encontrado
Sódio,mg,"10,1","20,2",BRC0148H,Nome não encontrado
Magnésio,mg,"0,08","0,15",BRC0148H,Nome não encontrado
Fósforo,mg,"31,0","62,0",BRC0148H,Nome não encontrado
Potássio,mg,"12,5","24,9",BRC0148H,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0148H,Nome não encontrado
Zinco,mg,"0,00","0,00",BRC0148H,Nome não encontrado
Cobre,mg,"0,00","0,00",BRC0148H,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0148H,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0148H,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0148H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0148H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0148H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0148H,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0148H,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0148H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0148H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0148H,Nome não encontrado
Vitamina C,mg,"14,0","28,0",BRC0148H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0148H,Nome não encontrado
Sal de adição,g,,,BRC0148H,Nome não encontrado
Açúcar de adição,g,,,BRC0148H,Nome não encontrado
Gordura de adição,g,-,-,BRC0148H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0148H,Nome não encontrado
Proteína animal,g,-,-,BRC0148H,Nome não encontrado
