componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,172,411,283,343,BRC0042H,Nome não encontrado
Energia,kcal,40,96,66,80,BRC0042H,Nome não encontrado
Umidade,g,"89,6",214,147,179,BRC0042H,Nome não encontrado
Carboidrato total,g,"9,28","22,3","15,3","18,6",BRC0042H,Nome não encontrado
Carboidrato disponível,g,"9,28","22,3","15,3","18,6",BRC0042H,Nome não encontrado
Proteína,g,"0,67","1,60","1,10","1,34",BRC0042H,Nome não encontrado
Lipídios,g,"0,06","0,15","0,11","0,13",BRC0042H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Cinzas,g,"0,39","0,92","0,64","0,77",BRC0042H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01","0,01","0,01",BRC0042H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,12","0,08","0,10",BRC0042H,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,,BRC0042H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Cálcio,mg,"3,19","7,65","5,26","6,37",BRC0042H,Nome não encontrado
Ferro,mg,"0,01","0,02","0,01","0,02",BRC0042H,Nome não encontrado
Sódio,mg,"1,92","4,60","3,16","3,84",BRC0042H,Nome não encontrado
Magnésio,mg,"8,93","21,4","14,7","17,9",BRC0042H,Nome não encontrado
Fósforo,mg,"8,74","21,0","14,4","17,5",BRC0042H,Nome não encontrado
Potássio,mg,143,345,237,287,BRC0042H,Nome não encontrado
Manganês,mg,"0,04","0,08","0,06","0,07",BRC0042H,Nome não encontrado
Zinco,mg,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Cobre,mg,"0,01","0,01","0,01","0,01",BRC0042H,Nome não encontrado
Selênio,mcg,"0,05","0,12","0,08","0,10",BRC0042H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,08","0,05","0,06",BRC0042H,Nome não encontrado
Tiamina,mg,"0,01","0,03","0,02","0,03",BRC0042H,Nome não encontrado
Riboflavina,mg,"0,07","0,17","0,12","0,14",BRC0042H,Nome não encontrado
Niacina,mg,"0,18","0,42","0,29","0,35",BRC0042H,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,,BRC0042H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Equivalente de folato,mcg,"1,84","4,42","3,04","3,68",BRC0042H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0042H,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0042H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0042H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0042H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0042H,Nome não encontrado
