componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,181,435,299,BRC0255C,Nome não encontrado
Energia,kcal,43,103,71,BRC0255C,Nome não encontrado
Umidade,g,"88,3",211,145,BRC0255C,Nome não encontrado
Carboidrato total,g,"10,8","26,0","17,9",BRC0255C,Nome não encontrado
Carboidrato disponível,g,"9,49","22,8","15,7",BRC0255C,Nome não encontrado
Proteína,g,"0,23","0,56","0,38",BRC0255C,Nome não encontrado
Lipídios,g,"0,15","0,36","0,25",BRC0255C,Nome não encontrado
Fibra alimentar,g,"1,35","3,24","2,23",BRC0255C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0255C,Nome não encontrado
Cinzas,g,"0,46","1,11","0,77",BRC0255C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0255C,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,07","0,05",BRC0255C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0255C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,17","0,11",BRC0255C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0255C,Nome não encontrado
Cálcio,mg,"2,26","5,43","3,74",BRC0255C,Nome não encontrado
Ferro,mg,"0,06","0,13","0,09",BRC0255C,Nome não encontrado
Sódio,mg,"0,88","2,12","1,46",BRC0255C,Nome não encontrado
Magnésio,mg,"3,15","7,57","5,20",BRC0255C,Nome não encontrado
Fósforo,mg,"5,06","12,1","8,34",BRC0255C,Nome não encontrado
Potássio,mg,"75,0",179,123,BRC0255C,Nome não encontrado
Manganês,mg,"0,02","0,05","0,04",BRC0255C,Nome não encontrado
Zinco,mg,traços,traços,traços,BRC0255C,Nome não encontrado
Cobre,mg,"0,01","0,03","0,02",BRC0255C,Nome não encontrado
Selênio,mcg,"0,14","0,33","0,22",BRC0255C,Nome não encontrado
Vitamina A (RE),mcg,"25,2","60,5","41,6",BRC0255C,Nome não encontrado
Vitamina A (RAE),mcg,"12,6","30,2","20,8",BRC0255C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0255C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,08","0,06",BRC0255C,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00",BRC0255C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0255C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0255C,Nome não encontrado
Vitamina B6,mg,"0,01","0,02","0,01",BRC0255C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0255C,Nome não encontrado
Vitamina C,mg,"19,5","46,8","32,2",BRC0255C,Nome não encontrado
Equivalente de folato,mcg,"9,67","23,2","16,0",BRC0255C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0255C,Nome não encontrado
Açúcar de adição,g,,,,BRC0255C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0255C,Nome não encontrado
Proteína vegetal,g,"0,23","0,56","0,38",BRC0255C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0255C,Nome não encontrado
