componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (31 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,499,174,154,698,399,BRC0088T,Nome não encontrado
Energia,kcal,119,41,36,166,95,BRC0088T,Nome não encontrado
Umidade,g,"67,6","23,7","21,0","94,7","54,1",BRC0088T,Nome não encontrado
Carboidrato total,g,"20,8","7,27","6,44","29,1","16,6",BRC0088T,Nome não encontrado
Carboidrato disponível,g,"13,6","4,76","4,22","19,0","10,9",BRC0088T,Nome não encontrado
Proteína,g,"8,75","3,06","2,71","12,3","7,00",BRC0088T,Nome não encontrado
Lipídios,g,"1,67","0,59","0,52","2,34","1,34",BRC0088T,Nome não encontrado
Fibra alimentar,g,"7,18","2,51","2,23","10,1","5,75",BRC0088T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0088T,Nome não encontrado
Cinzas,g,"1,15","0,40","0,36","1,61","0,92",BRC0088T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0088T,Nome não encontrado
Ácidos graxos saturados,g,"0,25","0,09","0,08","0,35","0,20",BRC0088T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,13","0,12","0,53","0,30",BRC0088T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,90","0,32","0,28","1,26","0,72",BRC0088T,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0088T,Nome não encontrado
Cálcio,mg,"28,5","9,98","8,84","39,9","22,8",BRC0088T,Nome não encontrado
Ferro,mg,"1,54","0,54","0,48","2,16","1,23",BRC0088T,Nome não encontrado
Sódio,mg,184,"64,6","57,2",258,147,BRC0088T,Nome não encontrado
Magnésio,mg,"39,8","13,9","12,3","55,7","31,8",BRC0088T,Nome não encontrado
Fósforo,mg,134,"47,2","41,8",188,107,BRC0088T,Nome não encontrado
Potássio,mg,318,111,"98,7",445,254,BRC0088T,Nome não encontrado
Manganês,mg,"0,51","0,18","0,16","0,72","0,41",BRC0088T,Nome não encontrado
Zinco,mg,"1,10","0,39","0,34","1,54","0,88",BRC0088T,Nome não encontrado
Cobre,mg,"0,21","0,07","0,06","0,29","0,17",BRC0088T,Nome não encontrado
Selênio,mcg,,,,,,BRC0088T,Nome não encontrado
Vitamina A (RE),mcg,"1,62","0,57","0,50","2,26","1,29",BRC0088T,Nome não encontrado
Vitamina A (RAE),mcg,"0,81","0,28","0,25","1,13","0,65",BRC0088T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0088T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,06","0,05","0,24","0,13",BRC0088T,Nome não encontrado
Tiamina,mg,"0,13","0,04","0,04","0,18","0,10",BRC0088T,Nome não encontrado
Riboflavina,mg,"0,06","0,02","0,02","0,08","0,05",BRC0088T,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0088T,Nome não encontrado
Vitamina B6,mg,"0,09","0,03","0,03","0,12","0,07",BRC0088T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0088T,Nome não encontrado
Vitamina C,mg,"0,73","0,26","0,23","1,03","0,59",BRC0088T,Nome não encontrado
Equivalente de folato,mcg,"43,4","15,2","13,5","60,8","34,8",BRC0088T,Nome não encontrado
Sal de adição,g,"0,47","0,16","0,15","0,66","0,38",BRC0088T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0088T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0088T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0088T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0088T,Nome não encontrado
