componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (185 g),codigo_alimento,nome_alimento
Energia,kJ,620,1147,BRC0039E,Nome não encontrado
Energia,kcal,147,272,BRC0039E,Nome não encontrado
Umidade,g,"67,0",123,BRC0039E,Nome não encontrado
Carboidrato total,g,"1,37","2,53",BRC0039E,Nome não encontrado
Carboidrato disponível,g,"1,37","2,53",BRC0039E,Nome não encontrado
Proteína,g,"26,2","48,5",BRC0039E,Nome não encontrado
Lipídios,g,"4,10","7,59",BRC0039E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0039E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0039E,Nome não encontrado
Cinzas,g,"1,37","2,53",BRC0039E,Nome não encontrado
Colesterol,mg,"36,2","67,0",BRC0039E,Nome não encontrado
Ácidos graxos saturados,g,"0,68","1,27",BRC0039E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,89","1,64",BRC0039E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,19","4,05",BRC0039E,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,05",BRC0039E,Nome não encontrado
Cálcio,mg,"6,06","11,2",BRC0039E,Nome não encontrado
Ferro,mg,"1,15","2,12",BRC0039E,Nome não encontrado
Sódio,mg,337,623,BRC0039E,Nome não encontrado
Magnésio,mg,"27,4","50,8",BRC0039E,Nome não encontrado
Fósforo,mg,196,363,BRC0039E,Nome não encontrado
Potássio,mg,260,481,BRC0039E,Nome não encontrado
Manganês,mg,traços,traços,BRC0039E,Nome não encontrado
Zinco,mg,"0,55","1,01",BRC0039E,Nome não encontrado
Cobre,mg,"0,04","0,06",BRC0039E,Nome não encontrado
Selênio,mcg,,,BRC0039E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0039E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0039E,Nome não encontrado
Vitamina D,mcg,"3,35","6,19",BRC0039E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43","0,80",BRC0039E,Nome não encontrado
Tiamina,mg,"0,14","0,26",BRC0039E,Nome não encontrado
Riboflavina,mg,"0,03","0,05",BRC0039E,Nome não encontrado
Niacina,mg,"2,95","5,45",BRC0039E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0039E,Nome não encontrado
Vitamina B12,mcg,"1,81","3,35",BRC0039E,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0039E,Nome não encontrado
Equivalente de folato,mcg,"4,11","7,61",BRC0039E,Nome não encontrado
Sal de adição,g,,,BRC0039E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0039E,Nome não encontrado
Gordura de adição,g,,,BRC0039E,Nome não encontrado
Proteína vegetal,g,,,BRC0039E,Nome não encontrado
Proteína animal,g,,,BRC0039E,Nome não encontrado
