componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (100 mL),codigo_alimento,nome_alimento
Energia,kJ,481,1154,793,481,BRC0136H,Nome não encontrado
Energia,kcal,115,276,189,115,BRC0136H,Nome não encontrado
Umidade,g,"76,5",183,126,"76,5",BRC0136H,Nome não encontrado
Carboidrato total,g,"16,2","38,9","26,7","16,2",BRC0136H,Nome não encontrado
Carboidrato disponível,g,"15,5","37,2","25,6","15,5",BRC0136H,Nome não encontrado
Proteína,g,"1,76","4,22","2,90","1,76",BRC0136H,Nome não encontrado
Lipídios,g,"4,93","11,8","8,13","4,93",BRC0136H,Nome não encontrado
Fibra alimentar,g,"0,78","1,87","1,29","0,78",BRC0136H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0136H,Nome não encontrado
Cinzas,g,"0,55","1,32","0,91","0,55",BRC0136H,Nome não encontrado
Colesterol,mg,"13,4","32,2","22,1","13,4",BRC0136H,Nome não encontrado
Ácidos graxos saturados,g,"2,98","7,15","4,92","2,98",BRC0136H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,29","3,10","2,13","1,29",BRC0136H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,38","0,26","0,16",BRC0136H,Nome não encontrado
Ácidos graxos trans,g,"0,16","0,38","0,26","0,16",BRC0136H,Nome não encontrado
Cálcio,mg,"55,0",132,"90,8","55,0",BRC0136H,Nome não encontrado
Ferro,mg,"0,15","0,36","0,25","0,15",BRC0136H,Nome não encontrado
Sódio,mg,"23,6","56,6","38,9","23,6",BRC0136H,Nome não encontrado
Magnésio,mg,"7,81","18,7","12,9","7,81",BRC0136H,Nome não encontrado
Fósforo,mg,"53,3",127,"87,9","53,3",BRC0136H,Nome não encontrado
Potássio,mg,122,292,201,122,BRC0136H,Nome não encontrado
Manganês,mg,"0,14","0,34","0,23","0,14",BRC0136H,Nome não encontrado
Zinco,mg,"0,22","0,53","0,36","0,22",BRC0136H,Nome não encontrado
Cobre,mg,"0,03","0,07","0,05","0,03",BRC0136H,Nome não encontrado
Selênio,mcg,"2,44","5,86","4,03","2,44",BRC0136H,Nome não encontrado
Vitamina A (RE),mcg,"44,1",105,"72,8","44,1",BRC0136H,Nome não encontrado
Vitamina A (RAE),mcg,"36,9","88,6","60,9","36,9",BRC0136H,Nome não encontrado
Vitamina D,mcg,"0,19","0,46","0,31","0,19",BRC0136H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,21","0,50","0,35","0,21",BRC0136H,Nome não encontrado
Tiamina,mg,"0,03","0,07","0,05","0,03",BRC0136H,Nome não encontrado
Riboflavina,mg,"0,07","0,17","0,12","0,07",BRC0136H,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0136H,Nome não encontrado
Vitamina B6,mg,"0,09","0,22","0,15","0,09",BRC0136H,Nome não encontrado
Vitamina B12,mcg,"0,09","0,22","0,15","0,09",BRC0136H,Nome não encontrado
Vitamina C,mg,"10,7","25,7","17,7","10,7",BRC0136H,Nome não encontrado
Equivalente de folato,mcg,"6,85","16,4","11,3","6,85",BRC0136H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0136H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0136H,Nome não encontrado
Gordura de adição,g,"3,76","9,02","6,20","3,76",BRC0136H,Nome não encontrado
Proteína vegetal,g,"0,24","0,58","0,40","0,24",BRC0136H,Nome não encontrado
Proteína animal,g,"1,53","3,67","2,52","1,53",BRC0136H,Nome não encontrado
