componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,2487,372,BRC0016U,Nome não encontrado
Energia,kcal,601,90,BRC0016U,Nome não encontrado
Umidade,g,"3,86","0,58",BRC0016U,Nome não encontrado
Carboidrato total,g,"21,6","3,24",BRC0016U,Nome não encontrado
Carboidrato disponível,g,"9,75","1,46",BRC0016U,Nome não encontrado
Proteína,g,"21,2","3,17",BRC0016U,Nome não encontrado
Lipídios,g,"50,4","7,56",BRC0016U,Nome não encontrado
Fibra alimentar,g,"11,9","1,78",BRC0016U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0016U,Nome não encontrado
Cinzas,g,"2,93","0,44",BRC0016U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0016U,Nome não encontrado
Ácidos graxos saturados,g,"7,80","1,17",BRC0016U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"19,9","2,99",BRC0016U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"22,5","3,38",BRC0016U,Nome não encontrado
Ácidos graxos trans,g,,,BRC0016U,Nome não encontrado
Cálcio,mg,825,123,BRC0016U,Nome não encontrado
Ferro,mg,"5,45","0,82",BRC0016U,Nome não encontrado
Sódio,mg,"2,58","0,39",BRC0016U,Nome não encontrado
Magnésio,mg,360,"54,1",BRC0016U,Nome não encontrado
Fósforo,mg,740,111,BRC0016U,Nome não encontrado
Potássio,mg,546,"81,9",BRC0016U,Nome não encontrado
Manganês,mg,"2,67","0,40",BRC0016U,Nome não encontrado
Zinco,mg,"5,24","0,79",BRC0016U,Nome não encontrado
Cobre,mg,"1,51","0,23",BRC0016U,Nome não encontrado
Selênio,mcg,"34,7","5,21",BRC0016U,Nome não encontrado
Vitamina A (RE),mcg,"0,83","0,12",BRC0016U,Nome não encontrado
Vitamina A (RAE),mcg,"0,42","0,06",BRC0016U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0016U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,04",BRC0016U,Nome não encontrado
Tiamina,mg,"0,94","0,14",BRC0016U,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0016U,Nome não encontrado
Niacina,mg,"5,92","0,89",BRC0016U,Nome não encontrado
Vitamina B6,mg,"0,13","0,02",BRC0016U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0016U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0016U,Nome não encontrado
Equivalente de folato,mcg,"97,8","14,7",BRC0016U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0016U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0016U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0016U,Nome não encontrado
Proteína vegetal,g,"21,2","3,17",BRC0016U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0016U,Nome não encontrado
