componente,unidade,Valor por 100g,Colher sopa cheia (10 g),Colher sopa rasa (7 g),codigo_alimento,nome_alimento
Energia,kJ,1425,142,99,BRC0055T,Nome não encontrado
Energia,kcal,336,33,23,BRC0055T,Nome não encontrado
Umidade,g,"5,67","0,57","0,40",BRC0055T,Nome não encontrado
Carboidrato total,g,"41,0","4,10","2,87",BRC0055T,Nome não encontrado
Carboidrato disponível,g,"32,5","3,25","2,28",BRC0055T,Nome não encontrado
Proteína,g,"45,9","4,59","3,22",BRC0055T,Nome não encontrado
Lipídios,g,"0,62","0,06","0,04",BRC0055T,Nome não encontrado
Fibra alimentar,g,"8,46","0,85","0,59",BRC0055T,Nome não encontrado
Álcool,g,,,,BRC0055T,Nome não encontrado
Cinzas,g,"6,78","0,68","0,47",BRC0055T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Ácidos graxos saturados,g,"0,08","0,01","0,01",BRC0055T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,01","0,01",BRC0055T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,03","0,02",BRC0055T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Cálcio,mg,176,"17,7","12,4",BRC0055T,Nome não encontrado
Ferro,mg,"14,4","1,44","1,01",BRC0055T,Nome não encontrado
Sódio,mg,997,"99,8","69,8",BRC0055T,Nome não encontrado
Magnésio,mg,"38,7","3,87","2,71",BRC0055T,Nome não encontrado
Fósforo,mg,770,"77,0","53,9",BRC0055T,Nome não encontrado
Potássio,mg,"80,4","8,04","5,63",BRC0055T,Nome não encontrado
Manganês,mg,,,,BRC0055T,Nome não encontrado
Zinco,mg,"4,00","0,40","0,28",BRC0055T,Nome não encontrado
Cobre,mg,,,,BRC0055T,Nome não encontrado
Selênio,mcg,,,,BRC0055T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Riboflavina,mg,"0,10","0,01","0,01",BRC0055T,Nome não encontrado
Niacina,mg,"1,43","0,14","0,10",BRC0055T,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Equivalente de folato,mcg,174,"17,5","12,2",BRC0055T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
Proteína vegetal,g,"45,9","4,59","3,22",BRC0055T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0055T,Nome não encontrado
