componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,575,345,258,575,BRC0402E,Nome não encontrado
Energia,kcal,138,82,61,137,BRC0402E,Nome não encontrado
Umidade,g,"74,0","44,4","33,3","74,0",BRC0402E,Nome não encontrado
Carboidrato total,g,"0,47","0,28","0,21","0,47",BRC0402E,Nome não encontrado
Carboidrato disponível,g,"0,97","0,58","0,44","0,97",BRC0402E,Nome não encontrado
Proteína,g,"18,0","10,8","8,08","18,0",BRC0402E,Nome não encontrado
Lipídios,g,"7,20","4,32","3,24","7,20",BRC0402E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0402E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0402E,Nome não encontrado
Cinzas,g,"1,35","0,81","0,61","1,35",BRC0402E,Nome não encontrado
Colesterol,mg,"60,6","36,4","27,3","60,6",BRC0402E,Nome não encontrado
Ácidos graxos saturados,g,"1,72","1,03","0,78","1,72",BRC0402E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,70","1,02","0,77","1,70",BRC0402E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,44","2,07","1,55","3,44",BRC0402E,Nome não encontrado
Ácidos graxos trans,g,-,-,-,-,BRC0402E,Nome não encontrado
Cálcio,mg,"18,9","11,3","8,49","18,9",BRC0402E,Nome não encontrado
Ferro,mg,"0,29","0,17","0,13","0,29",BRC0402E,Nome não encontrado
Sódio,mg,"84,9","51,0","38,2","84,9",BRC0402E,Nome não encontrado
Magnésio,mg,"31,7","19,0","14,3","31,7",BRC0402E,Nome não encontrado
Fósforo,mg,202,121,"91,3",202,BRC0402E,Nome não encontrado
Potássio,mg,417,250,187,417,BRC0402E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,02","0,03",BRC0402E,Nome não encontrado
Zinco,mg,"0,42","0,25","0,19","0,42",BRC0402E,Nome não encontrado
Cobre,mg,"0,04","0,02","0,02","0,04",BRC0402E,Nome não encontrado
Selênio,mcg,"30,1","18,0","13,5","30,1",BRC0402E,Nome não encontrado
Vitamina A (RE),mcg,"20,2","12,1","9,11","20,2",BRC0402E,Nome não encontrado
Vitamina A (RAE),mcg,"10,1","6,07","4,55","10,1",BRC0402E,Nome não encontrado
Vitamina D,mcg,"2,06","1,24","0,93","2,06",BRC0402E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,10","0,66","0,49","1,10",BRC0402E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0402E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01",BRC0402E,Nome não encontrado
Niacina,mg,"1,35","0,81","0,61","1,35",BRC0402E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0402E,Nome não encontrado
Vitamina B12,mcg,"1,99","1,20","0,90","1,99",BRC0402E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0402E,Nome não encontrado
Equivalente de folato,mcg,"14,4","8,63","6,47","14,4",BRC0402E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0402E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0402E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0402E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0402E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0402E,Nome não encontrado
