componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,749,BRC0153G,Nome não encontrado
Energia,kcal,178,BRC0153G,Nome não encontrado
Umidade,g,"61,0",BRC0153G,Nome não encontrado
Carboidrato total,g,"29,9",BRC0153G,Nome não encontrado
Carboidrato disponível,g,"29,4",BRC0153G,Nome não encontrado
Proteína,g,"3,74",BRC0153G,Nome não encontrado
Lipídios,g,"4,91",BRC0153G,Nome não encontrado
Fibra alimentar,g,"0,45",BRC0153G,Nome não encontrado
Álcool,g,"0,00",BRC0153G,Nome não encontrado
Cinzas,g,"0,63",BRC0153G,Nome não encontrado
Colesterol,mg,"14,6",BRC0153G,Nome não encontrado
Ácidos graxos saturados,g,"2,91",BRC0153G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,29",BRC0153G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20",BRC0153G,Nome não encontrado
Ácidos graxos trans,g,"0,10",BRC0153G,Nome não encontrado
Cálcio,mg,"81,5",BRC0153G,Nome não encontrado
Ferro,mg,"1,04",BRC0153G,Nome não encontrado
Sódio,mg,"44,6",BRC0153G,Nome não encontrado
Magnésio,mg,"14,6",BRC0153G,Nome não encontrado
Fósforo,mg,"74,6",BRC0153G,Nome não encontrado
Potássio,mg,130,BRC0153G,Nome não encontrado
Manganês,mg,"0,37",BRC0153G,Nome não encontrado
Zinco,mg,"0,42",BRC0153G,Nome não encontrado
Cobre,mg,"0,05",BRC0153G,Nome não encontrado
Selênio,mcg,"4,21",BRC0153G,Nome não encontrado
Vitamina A (RE),mcg,"63,7",BRC0153G,Nome não encontrado
Vitamina A (RAE),mcg,"62,8",BRC0153G,Nome não encontrado
Vitamina D,mcg,"0,80",BRC0153G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08",BRC0153G,Nome não encontrado
Tiamina,mg,"0,06",BRC0153G,Nome não encontrado
Riboflavina,mg,"0,16",BRC0153G,Nome não encontrado
Niacina,mg,"1,10",BRC0153G,Nome não encontrado
Vitamina B6,mg,traços,BRC0153G,Nome não encontrado
Vitamina B12,mcg,"0,23",BRC0153G,Nome não encontrado
Vitamina C,mg,"0,00",BRC0153G,Nome não encontrado
Equivalente de folato,mcg,"48,5",BRC0153G,Nome não encontrado
Sal de adição,g,"14,0",BRC0153G,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0153G,Nome não encontrado
Gordura de adição,g,-,BRC0153G,Nome não encontrado
Proteína vegetal,g,-,BRC0153G,Nome não encontrado
Proteína animal,g,-,BRC0153G,Nome não encontrado
