componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,1024,256,BRC0027U,Nome não encontrado
Energia,kcal,247,61,BRC0027U,Nome não encontrado
Umidade,g,"61,3","15,3",BRC0027U,Nome não encontrado
Carboidrato total,g,"9,60","2,40",BRC0027U,Nome não encontrado
Carboidrato disponível,g,"8,00","2,00",BRC0027U,Nome não encontrado
Proteína,g,"8,28","2,07",BRC0027U,Nome não encontrado
Lipídios,g,"19,8","4,95",BRC0027U,Nome não encontrado
Fibra alimentar,g,"1,64","0,41",BRC0027U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0027U,Nome não encontrado
Cinzas,g,"0,93","0,23",BRC0027U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0027U,Nome não encontrado
Ácidos graxos saturados,g,"3,30","0,83",BRC0027U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"11,4","2,85",BRC0027U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,47","0,87",BRC0027U,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,01",BRC0027U,Nome não encontrado
Cálcio,mg,"11,4","2,85",BRC0027U,Nome não encontrado
Ferro,mg,"2,30","0,58",BRC0027U,Nome não encontrado
Sódio,mg,"4,80","1,20",BRC0027U,Nome não encontrado
Magnésio,mg,103,"25,8",BRC0027U,Nome não encontrado
Fósforo,mg,219,"54,8",BRC0027U,Nome não encontrado
Potássio,mg,280,"70,0",BRC0027U,Nome não encontrado
Manganês,mg,"0,58","0,15",BRC0027U,Nome não encontrado
Zinco,mg,"2,02","0,51",BRC0027U,Nome não encontrado
Cobre,mg,"0,50","0,13",BRC0027U,Nome não encontrado
Selênio,mcg,"4,60","1,15",BRC0027U,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0027U,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0027U,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0027U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,39","0,10",BRC0027U,Nome não encontrado
Tiamina,mg,"0,12","0,03",BRC0027U,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0027U,Nome não encontrado
Niacina,mg,traços,traços,BRC0027U,Nome não encontrado
Vitamina B6,mg,"0,16","0,04",BRC0027U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0027U,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0027U,Nome não encontrado
Equivalente de folato,mcg,"27,1","6,78",BRC0027U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0027U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0027U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0027U,Nome não encontrado
Proteína vegetal,g,"8,28","2,07",BRC0027U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0027U,Nome não encontrado
