componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,331,198,BRC0059T,Nome não encontrado
Energia,kcal,79,47,BRC0059T,Nome não encontrado
Umidade,g,"76,9","46,2",BRC0059T,Nome não encontrado
Carboidrato total,g,"14,6","8,76",BRC0059T,Nome não encontrado
Carboidrato disponível,g,"5,69","3,41",BRC0059T,Nome não encontrado
Proteína,g,"5,73","3,44",BRC0059T,Nome não encontrado
Lipídios,g,"1,77","1,06",BRC0059T,Nome não encontrado
Fibra alimentar,g,"8,92","5,35",BRC0059T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0059T,Nome não encontrado
Cinzas,g,"0,98","0,59",BRC0059T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0059T,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,11",BRC0059T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,40","0,24",BRC0059T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,08","0,65",BRC0059T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0059T,Nome não encontrado
Cálcio,mg,"22,9","13,8",BRC0059T,Nome não encontrado
Ferro,mg,"1,32","0,79",BRC0059T,Nome não encontrado
Sódio,mg,"0,10","0,06",BRC0059T,Nome não encontrado
Magnésio,mg,"38,6","23,1",BRC0059T,Nome não encontrado
Fósforo,mg,141,"84,6",BRC0059T,Nome não encontrado
Potássio,mg,296,177,BRC0059T,Nome não encontrado
Manganês,mg,"0,37","0,22",BRC0059T,Nome não encontrado
Zinco,mg,"1,13","0,68",BRC0059T,Nome não encontrado
Cobre,mg,"0,19","0,11",BRC0059T,Nome não encontrado
Selênio,mcg,"1,35","0,81",BRC0059T,Nome não encontrado
Vitamina A (RE),mcg,"18,3","11,0",BRC0059T,Nome não encontrado
Vitamina A (RAE),mcg,"9,16","5,50",BRC0059T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0059T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,25","0,75",BRC0059T,Nome não encontrado
Tiamina,mg,"0,23","0,14",BRC0059T,Nome não encontrado
Riboflavina,mg,"0,06","0,04",BRC0059T,Nome não encontrado
Niacina,mg,"1,00","0,60",BRC0059T,Nome não encontrado
Vitamina B6,mg,"0,06","0,04",BRC0059T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0059T,Nome não encontrado
Vitamina C,mg,"9,45","5,67",BRC0059T,Nome não encontrado
Equivalente de folato,mcg,"56,1","33,7",BRC0059T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0059T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0059T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0059T,Nome não encontrado
Proteína vegetal,g,"5,73","3,44",BRC0059T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0059T,Nome não encontrado
