componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,110,263,181,BRC0150C,Nome não encontrado
Energia,kcal,26,62,42,BRC0150C,Nome não encontrado
Umidade,g,"93,3",224,154,BRC0150C,Nome não encontrado
Carboidrato total,g,"6,33","15,2","10,4",BRC0150C,Nome não encontrado
Carboidrato disponível,g,"5,98","14,3","9,86",BRC0150C,Nome não encontrado
Proteína,g,"0,15","0,36","0,25",BRC0150C,Nome não encontrado
Lipídios,g,"0,08","0,18","0,13",BRC0150C,Nome não encontrado
Fibra alimentar,g,"0,35","0,84","0,58",BRC0150C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0150C,Nome não encontrado
Cinzas,g,"0,10","0,24","0,16",BRC0150C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0150C,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,04","0,03",BRC0150C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,05","0,03",BRC0150C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,06","0,04",BRC0150C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0150C,Nome não encontrado
Cálcio,mg,"7,53","18,1","12,4",BRC0150C,Nome não encontrado
Ferro,mg,"0,01","0,01","0,01",BRC0150C,Nome não encontrado
Sódio,mg,"0,74","1,78","1,22",BRC0150C,Nome não encontrado
Magnésio,mg,"2,21","5,29","3,64",BRC0150C,Nome não encontrado
Fósforo,mg,"4,27","10,3","7,05",BRC0150C,Nome não encontrado
Potássio,mg,"28,0","67,2","46,2",BRC0150C,Nome não encontrado
Manganês,mg,"0,01","0,03","0,02",BRC0150C,Nome não encontrado
Zinco,mg,"0,02","0,05","0,04",BRC0150C,Nome não encontrado
Cobre,mg,"0,01","0,03","0,02",BRC0150C,Nome não encontrado
Selênio,mcg,"0,15","0,35","0,24",BRC0150C,Nome não encontrado
Vitamina A (RE),mcg,"40,2","96,5","66,4",BRC0150C,Nome não encontrado
Vitamina A (RAE),mcg,"20,1","48,3","33,2",BRC0150C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0150C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0150C,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0150C,Nome não encontrado
Riboflavina,mg,"0,01","0,03","0,02",BRC0150C,Nome não encontrado
Niacina,mg,"0,14","0,33","0,23",BRC0150C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0150C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0150C,Nome não encontrado
Vitamina C,mg,301,722,496,BRC0150C,Nome não encontrado
Equivalente de folato,mcg,"2,73","6,54","4,50",BRC0150C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0150C,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0150C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0150C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0150C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0150C,Nome não encontrado
