componente,unidade,Valor por 100g,Colher servir cheia (50 g),codigo_alimento,nome_alimento
Energia,kJ,323,161,BRC0827B,Nome não encontrado
Energia,kcal,77,38,BRC0827B,Nome não encontrado
Umidade,g,"83,3","41,7",BRC0827B,Nome não encontrado
Carboidrato total,g,"10,5","5,23",BRC0827B,Nome não encontrado
Carboidrato disponível,g,"8,11","4,06",BRC0827B,Nome não encontrado
Proteína,g,"2,04","1,02",BRC0827B,Nome não encontrado
Lipídios,g,"3,55","1,77",BRC0827B,Nome não encontrado
Fibra alimentar,g,"2,34","1,17",BRC0827B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0827B,Nome não encontrado
Cinzas,g,"0,64","0,32",BRC0827B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0827B,Nome não encontrado
Ácidos graxos saturados,g,"0,54","0,27",BRC0827B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,44","1,22",BRC0827B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,47","0,23",BRC0827B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0827B,Nome não encontrado
Cálcio,mg,"24,8","12,4",BRC0827B,Nome não encontrado
Ferro,mg,"0,89","0,45",BRC0827B,Nome não encontrado
Sódio,mg,"3,46","1,73",BRC0827B,Nome não encontrado
Magnésio,mg,"24,6","12,3",BRC0827B,Nome não encontrado
Fósforo,mg,"45,9","22,9",BRC0827B,Nome não encontrado
Potássio,mg,188,"94,5",BRC0827B,Nome não encontrado
Manganês,mg,"0,18","0,09",BRC0827B,Nome não encontrado
Zinco,mg,"0,38","0,19",BRC0827B,Nome não encontrado
Cobre,mg,"0,05","0,02",BRC0827B,Nome não encontrado
Selênio,mcg,"0,11","0,06",BRC0827B,Nome não encontrado
Vitamina A (RE),mcg,"76,4","38,2",BRC0827B,Nome não encontrado
Vitamina A (RAE),mcg,"43,5","21,7",BRC0827B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0827B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,75","0,38",BRC0827B,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0827B,Nome não encontrado
Riboflavina,mg,"0,04","0,02",BRC0827B,Nome não encontrado
Niacina,mg,"0,58","0,29",BRC0827B,Nome não encontrado
Vitamina B6,mg,"0,09","0,05",BRC0827B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0827B,Nome não encontrado
Vitamina C,mg,"9,20","4,60",BRC0827B,Nome não encontrado
Equivalente de folato,mcg,"19,6","9,81",BRC0827B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0827B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0827B,Nome não encontrado
Gordura de adição,g,-,-,BRC0827B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0827B,Nome não encontrado
Proteína animal,g,-,-,BRC0827B,Nome não encontrado
