componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,577,288,635,519,BRC0614A,Nome não encontrado
Energia,kcal,137,68,150,123,BRC0614A,Nome não encontrado
Umidade,g,"67,1","33,6","73,8","60,4",BRC0614A,Nome não encontrado
Carboidrato total,g,"19,1","9,54","21,0","17,2",BRC0614A,Nome não encontrado
Carboidrato disponível,g,"16,2","8,09","17,8","14,6",BRC0614A,Nome não encontrado
Proteína,g,"8,66","4,33","9,53","7,80",BRC0614A,Nome não encontrado
Lipídios,g,"3,53","1,77","3,89","3,18",BRC0614A,Nome não encontrado
Fibra alimentar,g,"2,91","1,45","3,20","2,62",BRC0614A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0614A,Nome não encontrado
Cinzas,g,"1,59","0,79","1,74","1,43",BRC0614A,Nome não encontrado
Colesterol,mg,"11,7","5,85","12,9","10,5",BRC0614A,Nome não encontrado
Ácidos graxos saturados,g,"1,50","0,75","1,65","1,35",BRC0614A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,87","0,43","0,96","0,78",BRC0614A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,73","0,37","0,81","0,66",BRC0614A,Nome não encontrado
Ácidos graxos trans,g,"0,07","0,04","0,08","0,07",BRC0614A,Nome não encontrado
Cálcio,mg,"64,9","32,4","71,4","58,4",BRC0614A,Nome não encontrado
Ferro,mg,"0,51","0,25","0,56","0,45",BRC0614A,Nome não encontrado
Sódio,mg,388,194,426,349,BRC0614A,Nome não encontrado
Magnésio,mg,"14,1","7,03","15,5","12,6",BRC0614A,Nome não encontrado
Fósforo,mg,103,"51,9",114,"93,4",BRC0614A,Nome não encontrado
Potássio,mg,110,"55,0",121,"99,1",BRC0614A,Nome não encontrado
Manganês,mg,"0,20","0,10","0,22","0,18",BRC0614A,Nome não encontrado
Zinco,mg,"0,65","0,33","0,72","0,59",BRC0614A,Nome não encontrado
Cobre,mg,"0,08","0,04","0,09","0,07",BRC0614A,Nome não encontrado
Selênio,mcg,"3,07","1,54","3,38","2,76",BRC0614A,Nome não encontrado
Vitamina A (RE),mcg,"21,9","10,9","24,1","19,7",BRC0614A,Nome não encontrado
Vitamina A (RAE),mcg,"10,9","5,47","12,0","9,85",BRC0614A,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,04","0,03",BRC0614A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,15","0,33","0,27",BRC0614A,Nome não encontrado
Tiamina,mg,"0,09","0,05","0,10","0,08",BRC0614A,Nome não encontrado
Riboflavina,mg,"0,07","0,03","0,07","0,06",BRC0614A,Nome não encontrado
Niacina,mg,"2,14","1,07","2,36","1,93",BRC0614A,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,08","0,07",BRC0614A,Nome não encontrado
Vitamina B12,mcg,"0,09","0,04","0,10","0,08",BRC0614A,Nome não encontrado
Vitamina C,mg,"3,26","1,63","3,59","2,93",BRC0614A,Nome não encontrado
Equivalente de folato,mcg,"15,0","7,52","16,5","13,5",BRC0614A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42",BRC0614A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0614A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0614A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0614A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0614A,Nome não encontrado
