componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,493,270,BRC0432N,Nome não encontrado
Energia,kcal,118,64,BRC0432N,Nome não encontrado
Umidade,g,"77,3","42,5",BRC0432N,Nome não encontrado
Carboidrato total,g,"4,71","2,59",BRC0432N,Nome não encontrado
Carboidrato disponível,g,"3,69","2,03",BRC0432N,Nome não encontrado
Proteína,g,"11,0","6,04",BRC0432N,Nome não encontrado
Lipídios,g,"6,36","3,50",BRC0432N,Nome não encontrado
Fibra alimentar,g,"1,03","0,56",BRC0432N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0432N,Nome não encontrado
Cinzas,g,"0,62","0,34",BRC0432N,Nome não encontrado
Colesterol,mg,"40,0","22,0",BRC0432N,Nome não encontrado
Ácidos graxos saturados,g,"2,41","1,33",BRC0432N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,93","1,06",BRC0432N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,38","0,76",BRC0432N,Nome não encontrado
Ácidos graxos trans,g,"0,12","0,07",BRC0432N,Nome não encontrado
Cálcio,mg,"7,13","3,92",BRC0432N,Nome não encontrado
Ferro,mg,"1,05","0,58",BRC0432N,Nome não encontrado
Sódio,mg,"22,1","12,1",BRC0432N,Nome não encontrado
Magnésio,mg,"9,55","5,25",BRC0432N,Nome não encontrado
Fósforo,mg,"76,6","42,1",BRC0432N,Nome não encontrado
Potássio,mg,181,100,BRC0432N,Nome não encontrado
Manganês,mg,"0,10","0,06",BRC0432N,Nome não encontrado
Zinco,mg,"3,12","1,72",BRC0432N,Nome não encontrado
Cobre,mg,"0,06","0,03",BRC0432N,Nome não encontrado
Selênio,mcg,"0,44","0,24",BRC0432N,Nome não encontrado
Vitamina A (RE),mcg,238,131,BRC0432N,Nome não encontrado
Vitamina A (RAE),mcg,119,"65,8",BRC0432N,Nome não encontrado
Vitamina D,mcg,"1,03","0,57",BRC0432N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,08","1,70",BRC0432N,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0432N,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0432N,Nome não encontrado
Niacina,mg,"0,64","0,35",BRC0432N,Nome não encontrado
Vitamina B6,mg,"0,06","0,03",BRC0432N,Nome não encontrado
Vitamina B12,mcg,"1,00","0,55",BRC0432N,Nome não encontrado
Vitamina C,mg,"2,97","1,63",BRC0432N,Nome não encontrado
Equivalente de folato,mcg,"6,32","3,47",BRC0432N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0432N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0432N,Nome não encontrado
Gordura de adição,g,-,-,BRC0432N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0432N,Nome não encontrado
Proteína animal,g,-,-,BRC0432N,Nome não encontrado
