componente,unidade,Valor por 100g,Colher sopa cheia (9 g),Colher sopa rasa (6 g),codigo_alimento,nome_alimento
Energia,kJ,1493,134,89,BRC0139A,Nome não encontrado
Energia,kcal,352,31,21,BRC0139A,Nome não encontrado
Umidade,g,"11,8","1,06","0,71",BRC0139A,Nome não encontrado
Carboidrato total,g,"75,5","6,80","4,53",BRC0139A,Nome não encontrado
Carboidrato disponível,g,"72,9","6,56","4,38",BRC0139A,Nome não encontrado
Proteína,g,"10,7","0,97","0,64",BRC0139A,Nome não encontrado
Lipídios,g,"1,36","0,12","0,08",BRC0139A,Nome não encontrado
Fibra alimentar,g,"2,58","0,23","0,15",BRC0139A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0139A,Nome não encontrado
Cinzas,g,"0,64","0,06","0,04",BRC0139A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0139A,Nome não encontrado
Ácidos graxos saturados,g,"0,31","0,03","0,02",BRC0139A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,15","0,01","0,01",BRC0139A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,44","0,04","0,03",BRC0139A,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,01","0,01",BRC0139A,Nome não encontrado
Cálcio,mg,"16,0","1,44","0,96",BRC0139A,Nome não encontrado
Ferro,mg,"5,70","0,51","0,34",BRC0139A,Nome não encontrado
Sódio,mg,"0,75","0,07","0,04",BRC0139A,Nome não encontrado
Magnésio,mg,"30,8","2,77","1,85",BRC0139A,Nome não encontrado
Fósforo,mg,116,"10,5","6,98",BRC0139A,Nome não encontrado
Potássio,mg,153,"13,8","9,21",BRC0139A,Nome não encontrado
Manganês,mg,"0,47","0,04","0,03",BRC0139A,Nome não encontrado
Zinco,mg,"0,87","0,08","0,05",BRC0139A,Nome não encontrado
Cobre,mg,"0,15","0,01","0,01",BRC0139A,Nome não encontrado
Selênio,mcg,"6,00","0,54","0,36",BRC0139A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0139A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0139A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0139A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,01","0,00",BRC0139A,Nome não encontrado
Tiamina,mg,"0,32","0,03","0,02",BRC0139A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0139A,Nome não encontrado
Niacina,mg,"0,90","0,08","0,05",BRC0139A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0139A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0139A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0139A,Nome não encontrado
Equivalente de folato,mcg,281,"25,3","16,9",BRC0139A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0139A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0139A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0139A,Nome não encontrado
Proteína vegetal,g,"10,7","0,97","0,64",BRC0139A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0139A,Nome não encontrado
