componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),Colher sopa cheia (30 g),Escumadeira cheia (80 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,238,142,95,71,190,119,BRC0291B,Nome não encontrado
Energia,kcal,57,34,22,17,45,28,BRC0291B,Nome não encontrado
Umidade,g,"85,2","51,1","34,1","25,6","68,2","42,6",BRC0291B,Nome não encontrado
Carboidrato total,g,"11,1","6,67","4,45","3,34","8,90","5,56",BRC0291B,Nome não encontrado
Carboidrato disponível,g,"9,48","5,69","3,79","2,84","7,58","4,74",BRC0291B,Nome não encontrado
Proteína,g,"1,41","0,85","0,56","0,42","1,13","0,71",BRC0291B,Nome não encontrado
Lipídios,g,"1,09","0,66","0,44","0,33","0,87","0,55",BRC0291B,Nome não encontrado
Fibra alimentar,g,"1,68","1,01","0,67","0,50","1,34","0,84",BRC0291B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0291B,Nome não encontrado
Cinzas,g,"1,17","0,70","0,47","0,35","0,94","0,59",BRC0291B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0291B,Nome não encontrado
Ácidos graxos saturados,g,"0,17","0,10","0,07","0,05","0,14","0,09",BRC0291B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24","0,14","0,10","0,07","0,19","0,12",BRC0291B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,64","0,38","0,26","0,19","0,51","0,32",BRC0291B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,traços,traços,BRC0291B,Nome não encontrado
Cálcio,mg,"5,33","3,20","2,13","1,60","4,26","2,67",BRC0291B,Nome não encontrado
Ferro,mg,"0,26","0,16","0,10","0,08","0,21","0,13",BRC0291B,Nome não encontrado
Sódio,mg,270,162,108,"81,0",216,135,BRC0291B,Nome não encontrado
Magnésio,mg,"7,67","4,60","3,07","2,30","6,14","3,84",BRC0291B,Nome não encontrado
Fósforo,mg,"27,6","16,6","11,0","8,28","22,1","13,8",BRC0291B,Nome não encontrado
Potássio,mg,246,147,"98,4","73,8",196,123,BRC0291B,Nome não encontrado
Manganês,mg,"0,07","0,04","0,03","0,02","0,06","0,04",BRC0291B,Nome não encontrado
Zinco,mg,"0,21","0,13","0,08","0,06","0,17","0,11",BRC0291B,Nome não encontrado
Cobre,mg,"0,07","0,04","0,03","0,02","0,05","0,03",BRC0291B,Nome não encontrado
Selênio,mcg,"0,23","0,14","0,09","0,07","0,18","0,12",BRC0291B,Nome não encontrado
Vitamina A (RE),mcg,"27,2","16,3","10,9","8,16","21,8","13,6",BRC0291B,Nome não encontrado
Vitamina A (RAE),mcg,"13,6","8,16","5,44","4,08","10,9","6,80",BRC0291B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0291B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,23","0,14","0,09","0,07","0,18","0,12",BRC0291B,Nome não encontrado
Tiamina,mg,"0,07","0,04","0,03","0,02","0,05","0,03",BRC0291B,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,00","0,00","0,00",BRC0291B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0291B,Nome não encontrado
Vitamina B6,mg,"0,08","0,05","0,03","0,02","0,06","0,04",BRC0291B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0291B,Nome não encontrado
Vitamina C,mg,"7,15","4,29","2,86","2,15","5,72","3,58",BRC0291B,Nome não encontrado
Equivalente de folato,mcg,"7,78","4,67","3,11","2,33","6,23","3,89",BRC0291B,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,19","0,14","0,38","0,24",BRC0291B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0291B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0291B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0291B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0291B,Nome não encontrado
