componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,577,288,635,519,BRC0605A,Nome não encontrado
Energia,kcal,137,68,150,123,BRC0605A,Nome não encontrado
Umidade,g,"68,5","34,3","75,4","61,7",BRC0605A,Nome não encontrado
Carboidrato total,g,"19,2","9,59","21,1","17,3",BRC0605A,Nome não encontrado
Carboidrato disponível,g,"18,0","9,00","19,8","16,2",BRC0605A,Nome não encontrado
Proteína,g,"7,43","3,71","8,17","6,68",BRC0605A,Nome não encontrado
Lipídios,g,"3,64","1,82","4,01","3,28",BRC0605A,Nome não encontrado
Fibra alimentar,g,"1,18","0,59","1,30","1,06",BRC0605A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0605A,Nome não encontrado
Cinzas,g,"1,21","0,60","1,33","1,09",BRC0605A,Nome não encontrado
Colesterol,mg,"12,9","6,44","14,2","11,6",BRC0605A,Nome não encontrado
Ácidos graxos saturados,g,"1,46","0,73","1,60","1,31",BRC0605A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,91","0,45","1,00","0,82",BRC0605A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,88","0,44","0,97","0,79",BRC0605A,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,05","0,10","0,08",BRC0605A,Nome não encontrado
Cálcio,mg,"62,0","31,0","68,2","55,8",BRC0605A,Nome não encontrado
Ferro,mg,"0,50","0,25","0,55","0,45",BRC0605A,Nome não encontrado
Sódio,mg,286,143,315,258,BRC0605A,Nome não encontrado
Magnésio,mg,"6,72","3,36","7,40","6,05",BRC0605A,Nome não encontrado
Fósforo,mg,101,"50,8",111,"91,4",BRC0605A,Nome não encontrado
Potássio,mg,120,"60,3",132,108,BRC0605A,Nome não encontrado
Manganês,mg,"0,16","0,08","0,18","0,15",BRC0605A,Nome não encontrado
Zinco,mg,"0,70","0,35","0,77","0,63",BRC0605A,Nome não encontrado
Cobre,mg,"0,15","0,08","0,17","0,14",BRC0605A,Nome não encontrado
Selênio,mcg,"5,28","2,64","5,80","4,75",BRC0605A,Nome não encontrado
Vitamina A (RE),mcg,"9,57","4,79","10,5","8,61",BRC0605A,Nome não encontrado
Vitamina A (RAE),mcg,"4,79","2,39","5,26","4,31",BRC0605A,Nome não encontrado
Vitamina D,mcg,"0,10","0,05","0,11","0,09",BRC0605A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,12","0,27","0,22",BRC0605A,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,05","0,04",BRC0605A,Nome não encontrado
Riboflavina,mg,"0,07","0,03","0,07","0,06",BRC0605A,Nome não encontrado
Niacina,mg,"3,72","1,86","4,09","3,34",BRC0605A,Nome não encontrado
Vitamina B6,mg,"0,30","0,15","0,33","0,27",BRC0605A,Nome não encontrado
Vitamina B12,mcg,"0,09","0,04","0,10","0,08",BRC0605A,Nome não encontrado
Vitamina C,mg,"1,20","0,60","1,31","1,08",BRC0605A,Nome não encontrado
Equivalente de folato,mcg,"48,1","24,1","52,9","43,3",BRC0605A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0605A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0605A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0605A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0605A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0605A,Nome não encontrado
