componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,352,193,BRC0302N,Nome não encontrado
Energia,kcal,84,46,BRC0302N,Nome não encontrado
Umidade,g,"80,6","44,3",BRC0302N,Nome não encontrado
Carboidrato total,g,"5,75","3,16",BRC0302N,Nome não encontrado
Carboidrato disponível,g,"3,88","2,14",BRC0302N,Nome não encontrado
Proteína,g,"10,7","5,89",BRC0302N,Nome não encontrado
Lipídios,g,"2,40","1,32",BRC0302N,Nome não encontrado
Fibra alimentar,g,"1,87","1,03",BRC0302N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0302N,Nome não encontrado
Cinzas,g,"0,58","0,32",BRC0302N,Nome não encontrado
Colesterol,mg,"17,6","9,67",BRC0302N,Nome não encontrado
Ácidos graxos saturados,g,"0,94","0,52",BRC0302N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,93","0,51",BRC0302N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,24","0,13",BRC0302N,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,03",BRC0302N,Nome não encontrado
Cálcio,mg,"10,5","5,80",BRC0302N,Nome não encontrado
Ferro,mg,"1,03","0,57",BRC0302N,Nome não encontrado
Sódio,mg,"20,3","11,2",BRC0302N,Nome não encontrado
Magnésio,mg,"14,7","8,06",BRC0302N,Nome não encontrado
Fósforo,mg,"79,8","43,9",BRC0302N,Nome não encontrado
Potássio,mg,201,110,BRC0302N,Nome não encontrado
Manganês,mg,"0,09","0,05",BRC0302N,Nome não encontrado
Zinco,mg,"2,14","1,18",BRC0302N,Nome não encontrado
Cobre,mg,"0,08","0,04",BRC0302N,Nome não encontrado
Selênio,mcg,"0,29","0,16",BRC0302N,Nome não encontrado
Vitamina A (RE),mcg,144,"79,7",BRC0302N,Nome não encontrado
Vitamina A (RAE),mcg,"72,9","40,1",BRC0302N,Nome não encontrado
Vitamina D,mcg,"0,09","0,05",BRC0302N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,43","0,79",BRC0302N,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0302N,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0302N,Nome não encontrado
Niacina,mg,"0,85","0,47",BRC0302N,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0302N,Nome não encontrado
Vitamina B12,mcg,"0,41","0,22",BRC0302N,Nome não encontrado
Vitamina C,mg,"1,41","0,78",BRC0302N,Nome não encontrado
Equivalente de folato,mcg,"19,2","10,5",BRC0302N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0302N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0302N,Nome não encontrado
Gordura de adição,g,-,-,BRC0302N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0302N,Nome não encontrado
Proteína animal,g,-,-,BRC0302N,Nome não encontrado
