componente,unidade,Valor por 100g,Colher servir cheia (70 g),Colher servir rasa (35 g),Colher sopa cheia (30 g),Colher sopa rasa (20 g),Escumadeira cheia (70 g),Escumadeira rasa (35 g),codigo_alimento,nome_alimento
Energia,kJ,107,75,37,32,21,75,37,BRC0153B,Nome não encontrado
Energia,kcal,26,17,8,7,5,17,8,BRC0153B,Nome não encontrado
Umidade,g,"93,5","65,4","32,7","28,0","18,7","65,4","32,7",BRC0153B,Nome não encontrado
Carboidrato total,g,"4,19","2,93","1,47","1,26","0,84","2,93","1,47",BRC0153B,Nome não encontrado
Carboidrato disponível,g,"2,81","1,96","0,98","0,84","0,56","1,96","0,98",BRC0153B,Nome não encontrado
Proteína,g,"1,07","0,75","0,37","0,32","0,21","0,75","0,37",BRC0153B,Nome não encontrado
Lipídios,g,"0,82","0,57","0,29","0,25","0,16","0,57","0,29",BRC0153B,Nome não encontrado
Fibra alimentar,g,"1,38","0,97","0,48","0,41","0,28","0,97","0,48",BRC0153B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0153B,Nome não encontrado
Cinzas,g,"0,43","0,30","0,15","0,13","0,09","0,30","0,15",BRC0153B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0153B,Nome não encontrado
Ácidos graxos saturados,g,"0,13","0,09","0,05","0,04","0,03","0,09","0,05",BRC0153B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,18","0,13","0,06","0,05","0,04","0,13","0,06",BRC0153B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,46","0,32","0,16","0,14","0,09","0,32","0,16",BRC0153B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0153B,Nome não encontrado
Cálcio,mg,"20,7","14,5","7,26","6,22","4,15","14,5","7,26",BRC0153B,Nome não encontrado
Ferro,mg,"0,36","0,25","0,13","0,11","0,07","0,25","0,13",BRC0153B,Nome não encontrado
Sódio,mg,130,"91,0","45,5","39,0","26,0","91,0","45,5",BRC0153B,Nome não encontrado
Magnésio,mg,"12,7","8,87","4,43","3,80","2,53","8,87","4,43",BRC0153B,Nome não encontrado
Fósforo,mg,"31,8","22,3","11,1","9,55","6,37","22,3","11,1",BRC0153B,Nome não encontrado
Potássio,mg,193,135,"67,8","58,1","38,7",135,"67,8",BRC0153B,Nome não encontrado
Manganês,mg,"0,14","0,10","0,05","0,04","0,03","0,10","0,05",BRC0153B,Nome não encontrado
Zinco,mg,"0,27","0,19","0,10","0,08","0,05","0,19","0,10",BRC0153B,Nome não encontrado
Cobre,mg,"0,02","0,02","0,01","0,01","0,00","0,02","0,01",BRC0153B,Nome não encontrado
Selênio,mcg,-,-,-,-,-,-,-,BRC0153B,Nome não encontrado
Vitamina A (RE),mcg,"41,6","29,1","14,6","12,5","8,32","29,1","14,6",BRC0153B,Nome não encontrado
Vitamina A (RAE),mcg,"20,8","14,6","7,28","6,24","4,16","14,6","7,28",BRC0153B,Nome não encontrado
Vitamina D,mcg,-,-,-,-,-,-,-,BRC0153B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,-,-,-,-,-,-,-,BRC0153B,Nome não encontrado
Tiamina,mg,"0,04","0,03","0,02","0,01","0,01","0,03","0,02",BRC0153B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0153B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0153B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0153B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0153B,Nome não encontrado
Vitamina C,mg,"7,53","5,27","2,64","2,26","1,51","5,27","2,64",BRC0153B,Nome não encontrado
Equivalente de folato,mcg,-,-,-,-,-,-,-,BRC0153B,Nome não encontrado
Sal de adição,g,"0,32","0,22","0,11","0,10","0,06","0,22","0,11",BRC0153B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0153B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,-,BRC0153B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,-,BRC0153B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,-,BRC0153B,Nome não encontrado
