componente,unidade,Valor por 100g,Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,693,138,BRC0187T,Nome não encontrado
Energia,kcal,166,33,BRC0187T,Nome não encontrado
Umidade,g,"52,0","10,4",BRC0187T,Nome não encontrado
Carboidrato total,g,"13,0","2,60",BRC0187T,Nome não encontrado
Carboidrato disponível,g,"8,03","1,61",BRC0187T,Nome não encontrado
Proteína,g,"13,0","2,60",BRC0187T,Nome não encontrado
Lipídios,g,"8,00","1,60",BRC0187T,Nome não encontrado
Fibra alimentar,g,"4,97","0,99",BRC0187T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0187T,Nome não encontrado
Cinzas,g,"14,0","2,80",BRC0187T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0187T,Nome não encontrado
Ácidos graxos saturados,g,"1,36","0,27",BRC0187T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,49","0,30",BRC0187T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,84","0,57",BRC0187T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0187T,Nome não encontrado
Cálcio,mg,"23,0","4,60",BRC0187T,Nome não encontrado
Ferro,mg,"1,01","0,20",BRC0187T,Nome não encontrado
Sódio,mg,1504,300,BRC0187T,Nome não encontrado
Magnésio,mg,"19,4","3,87",BRC0187T,Nome não encontrado
Fósforo,mg,"64,2","12,8",BRC0187T,Nome não encontrado
Potássio,mg,"84,8","17,0",BRC0187T,Nome não encontrado
Manganês,mg,,,BRC0187T,Nome não encontrado
Zinco,mg,"1,03","0,21",BRC0187T,Nome não encontrado
Cobre,mg,,,BRC0187T,Nome não encontrado
Selênio,mcg,,,BRC0187T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0187T,Nome não encontrado
Vitamina A (RAE),mcg,"28,4","5,69",BRC0187T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0187T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,01",BRC0187T,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0187T,Nome não encontrado
Riboflavina,mg,"0,09","0,02",BRC0187T,Nome não encontrado
Niacina,mg,"0,37","0,07",BRC0187T,Nome não encontrado
Vitamina B6,mg,"0,08","0,02",BRC0187T,Nome não encontrado
Vitamina B12,mcg,"0,03","0,01",BRC0187T,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0187T,Nome não encontrado
Equivalente de folato,mcg,"7,67","1,53",BRC0187T,Nome não encontrado
Sal de adição,g,,,BRC0187T,Nome não encontrado
Açúcar de adição,g,,,BRC0187T,Nome não encontrado
Gordura de adição,g,,,BRC0187T,Nome não encontrado
Proteína vegetal,g,"13,0","2,60",BRC0187T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0187T,Nome não encontrado
