componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1917,287,BRC0039T,Nome não encontrado
Energia,kcal,458,68,BRC0039T,Nome não encontrado
Umidade,g,"6,20","0,93",BRC0039T,Nome não encontrado
Carboidrato total,g,"28,0","4,21",BRC0039T,Nome não encontrado
Carboidrato disponível,g,"25,9","3,89",BRC0039T,Nome não encontrado
Proteína,g,"38,6","5,79",BRC0039T,Nome não encontrado
Lipídios,g,"21,7","3,26",BRC0039T,Nome não encontrado
Fibra alimentar,g,"2,11","0,32",BRC0039T,Nome não encontrado
Álcool,g,,,BRC0039T,Nome não encontrado
Cinzas,g,"5,47","0,82",BRC0039T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0039T,Nome não encontrado
Ácidos graxos saturados,g,"3,14","0,47",BRC0039T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,79","0,72",BRC0039T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"12,3","1,84",BRC0039T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0039T,Nome não encontrado
Cálcio,mg,194,"29,2",BRC0039T,Nome não encontrado
Ferro,mg,"7,32","1,10",BRC0039T,Nome não encontrado
Sódio,mg,"18,6","2,79",BRC0039T,Nome não encontrado
Magnésio,mg,273,"41,0",BRC0039T,Nome não encontrado
Fósforo,mg,536,"80,5",BRC0039T,Nome não encontrado
Potássio,mg,1849,277,BRC0039T,Nome não encontrado
Manganês,mg,"2,86","0,43",BRC0039T,Nome não encontrado
Zinco,mg,"4,35","0,65",BRC0039T,Nome não encontrado
Cobre,mg,"1,28","0,19",BRC0039T,Nome não encontrado
Selênio,mcg,,,BRC0039T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0039T,Nome não encontrado
Vitamina A (RAE),mcg,"6,31","0,95",BRC0039T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0039T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,05","0,31",BRC0039T,Nome não encontrado
Tiamina,mg,"0,20","0,03",BRC0039T,Nome não encontrado
Riboflavina,mg,"0,04","0,01",BRC0039T,Nome não encontrado
Niacina,mg,traços,traços,BRC0039T,Nome não encontrado
Vitamina B6,mg,"0,03","0,00",BRC0039T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0039T,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0039T,Nome não encontrado
Equivalente de folato,mcg,341,"51,2",BRC0039T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0039T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0039T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0039T,Nome não encontrado
Proteína vegetal,g,"38,6","5,79",BRC0039T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0039T,Nome não encontrado
