componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,588,352,235,BRC0897A,Nome não encontrado
Energia,kcal,139,83,55,BRC0897A,Nome não encontrado
Umidade,g,"67,0","40,2","26,8",BRC0897A,Nome não encontrado
Carboidrato total,g,"26,9","16,1","10,8",BRC0897A,Nome não encontrado
Carboidrato disponível,g,"26,1","15,7","10,4",BRC0897A,Nome não encontrado
Proteína,g,"3,33","2,00","1,33",BRC0897A,Nome não encontrado
Lipídios,g,"2,19","1,31","0,88",BRC0897A,Nome não encontrado
Fibra alimentar,g,"0,79","0,48","0,32",BRC0897A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0897A,Nome não encontrado
Cinzas,g,"0,62","0,37","0,25",BRC0897A,Nome não encontrado
Colesterol,mg,"3,71","2,23","1,48",BRC0897A,Nome não encontrado
Ácidos graxos saturados,g,"1,31","0,78","0,52",BRC0897A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,56","0,34","0,22",BRC0897A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,06","0,04",BRC0897A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01",BRC0897A,Nome não encontrado
Cálcio,mg,"73,9","44,3","29,5",BRC0897A,Nome não encontrado
Ferro,mg,"0,24","0,14","0,10",BRC0897A,Nome não encontrado
Sódio,mg,"33,9","20,3","13,5",BRC0897A,Nome não encontrado
Magnésio,mg,"19,6","11,7","7,83",BRC0897A,Nome não encontrado
Fósforo,mg,"63,2","37,9","25,3",BRC0897A,Nome não encontrado
Potássio,mg,"99,1","59,5","39,7",BRC0897A,Nome não encontrado
Manganês,mg,"0,61","0,37","0,25",BRC0897A,Nome não encontrado
Zinco,mg,"0,53","0,32","0,21",BRC0897A,Nome não encontrado
Cobre,mg,"0,10","0,06","0,04",BRC0897A,Nome não encontrado
Selênio,mcg,"4,57","2,74","1,83",BRC0897A,Nome não encontrado
Vitamina A (RE),mcg,"23,0","13,8","9,20",BRC0897A,Nome não encontrado
Vitamina A (RAE),mcg,"22,6","13,6","9,05",BRC0897A,Nome não encontrado
Vitamina D,mcg,"0,02","0,01","0,01",BRC0897A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,04","0,02",BRC0897A,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0897A,Nome não encontrado
Riboflavina,mg,"0,12","0,07","0,05",BRC0897A,Nome não encontrado
Niacina,mg,"0,44","0,26","0,17",BRC0897A,Nome não encontrado
Vitamina B6,mg,"0,09","0,05","0,03",BRC0897A,Nome não encontrado
Vitamina B12,mcg,"0,17","0,10","0,07",BRC0897A,Nome não encontrado
Vitamina C,mg,"0,33","0,20","0,13",BRC0897A,Nome não encontrado
Equivalente de folato,mcg,"4,36","2,61","1,74",BRC0897A,Nome não encontrado
Sal de adição,g,,,,BRC0897A,Nome não encontrado
Açúcar de adição,g,,,,BRC0897A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0897A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0897A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0897A,Nome não encontrado
