componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,277,124,BRC0390E,Nome não encontrado
Energia,kcal,66,29,BRC0390E,Nome não encontrado
Umidade,g,"84,2","37,9",BRC0390E,Nome não encontrado
Carboidrato total,g,"3,07","1,38",BRC0390E,Nome não encontrado
Carboidrato disponível,g,"2,28","1,03",BRC0390E,Nome não encontrado
Proteína,g,"9,36","4,21",BRC0390E,Nome não encontrado
Lipídios,g,"1,93","0,87",BRC0390E,Nome não encontrado
Fibra alimentar,g,"0,79","0,35",BRC0390E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0390E,Nome não encontrado
Cinzas,g,"1,41","0,63",BRC0390E,Nome não encontrado
Colesterol,mg,120,"54,2",BRC0390E,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,18",BRC0390E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,39","0,17",BRC0390E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,85","0,38",BRC0390E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0390E,Nome não encontrado
Cálcio,mg,"53,3","24,0",BRC0390E,Nome não encontrado
Ferro,mg,"1,32","0,59",BRC0390E,Nome não encontrado
Sódio,mg,383,172,BRC0390E,Nome não encontrado
Magnésio,mg,"14,2","6,37",BRC0390E,Nome não encontrado
Fósforo,mg,145,"65,3",BRC0390E,Nome não encontrado
Potássio,mg,119,"53,6",BRC0390E,Nome não encontrado
Manganês,mg,"0,13","0,06",BRC0390E,Nome não encontrado
Zinco,mg,"0,66","0,30",BRC0390E,Nome não encontrado
Cobre,mg,"0,22","0,10",BRC0390E,Nome não encontrado
Selênio,mcg,"0,13","0,06",BRC0390E,Nome não encontrado
Vitamina A (RE),mcg,"11,3","5,07",BRC0390E,Nome não encontrado
Vitamina A (RAE),mcg,"7,60","3,42",BRC0390E,Nome não encontrado
Vitamina D,mcg,"0,04","0,02",BRC0390E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,03","0,46",BRC0390E,Nome não encontrado
Tiamina,mg,"0,02","0,01",BRC0390E,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0390E,Nome não encontrado
Niacina,mg,"0,06","0,03",BRC0390E,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0390E,Nome não encontrado
Vitamina B12,mcg,"0,80","0,36",BRC0390E,Nome não encontrado
Vitamina C,mg,"13,4","6,04",BRC0390E,Nome não encontrado
Equivalente de folato,mcg,"17,3","7,80",BRC0390E,Nome não encontrado
Sal de adição,g,"0,45","0,20",BRC0390E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0390E,Nome não encontrado
Gordura de adição,g,-,-,BRC0390E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0390E,Nome não encontrado
Proteína animal,g,-,-,BRC0390E,Nome não encontrado
