componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (70 g),codigo_alimento,nome_alimento
Energia,kJ,1275,318,892,BRC0091B,Nome não encontrado
Energia,kcal,304,75,212,BRC0091B,Nome não encontrado
Umidade,g,"36,6","9,14","25,6",BRC0091B,Nome não encontrado
Carboidrato total,g,"50,3","12,6","35,2",BRC0091B,Nome não encontrado
Carboidrato disponível,g,"48,4","12,1","33,9",BRC0091B,Nome não encontrado
Proteína,g,"1,38","0,35","0,97",BRC0091B,Nome não encontrado
Lipídios,g,"11,2","2,80","7,84",BRC0091B,Nome não encontrado
Fibra alimentar,g,"1,87","0,47","1,31",BRC0091B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0091B,Nome não encontrado
Cinzas,g,"0,61","0,15","0,42",BRC0091B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0091B,Nome não encontrado
Ácidos graxos saturados,g,"1,70","0,42","1,19",BRC0091B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,77","0,69","1,94",BRC0091B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,18","1,55","4,33",BRC0091B,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,01","0,03",BRC0091B,Nome não encontrado
Cálcio,mg,"23,1","5,76","16,1",BRC0091B,Nome não encontrado
Ferro,mg,"0,32","0,08","0,22",BRC0091B,Nome não encontrado
Sódio,mg,"8,94","2,23","6,26",BRC0091B,Nome não encontrado
Magnésio,mg,"94,9","23,7","66,4",BRC0091B,Nome não encontrado
Fósforo,mg,"56,5","14,1","39,6",BRC0091B,Nome não encontrado
Potássio,mg,176,"44,0",123,BRC0091B,Nome não encontrado
Manganês,mg,"0,18","0,05","0,13",BRC0091B,Nome não encontrado
Zinco,mg,"0,44","0,11","0,31",BRC0091B,Nome não encontrado
Cobre,mg,"0,12","0,03","0,08",BRC0091B,Nome não encontrado
Selênio,mcg,"1,10","0,28","0,77",BRC0091B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0091B,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0091B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0091B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0091B,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,04",BRC0091B,Nome não encontrado
Riboflavina,mg,,,,BRC0091B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0091B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,03",BRC0091B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0091B,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0091B,Nome não encontrado
Equivalente de folato,mcg,"29,7","7,43","20,8",BRC0091B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0091B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0091B,Nome não encontrado
Gordura de adição,g,,,,BRC0091B,Nome não encontrado
Proteína vegetal,g,"1,38","0,35","0,97",BRC0091B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0091B,Nome não encontrado
