componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,735,440,293,BRC0880B,Nome não encontrado
Energia,kcal,175,104,69,BRC0880B,Nome não encontrado
Umidade,g,"57,6","34,5","23,0",BRC0880B,Nome não encontrado
Carboidrato total,g,"33,2","19,9","13,3",BRC0880B,Nome não encontrado
Carboidrato disponível,g,"29,5","17,7","11,8",BRC0880B,Nome não encontrado
Proteína,g,"2,08","1,25","0,83",BRC0880B,Nome não encontrado
Lipídios,g,"4,57","2,74","1,83",BRC0880B,Nome não encontrado
Fibra alimentar,g,"3,67","2,20","1,47",BRC0880B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0880B,Nome não encontrado
Cinzas,g,"2,60","1,56","1,04",BRC0880B,Nome não encontrado
Colesterol,mg,"10,7","6,42","4,28",BRC0880B,Nome não encontrado
Ácidos graxos saturados,g,"2,67","1,60","1,07",BRC0880B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,10","0,66","0,44",BRC0880B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,09","0,06",BRC0880B,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08","0,06",BRC0880B,Nome não encontrado
Cálcio,mg,"35,2","21,1","14,1",BRC0880B,Nome não encontrado
Ferro,mg,"0,48","0,29","0,19",BRC0880B,Nome não encontrado
Sódio,mg,"11,1","6,68","4,45",BRC0880B,Nome não encontrado
Magnésio,mg,"30,2","18,1","12,1",BRC0880B,Nome não encontrado
Fósforo,mg,"45,8","27,5","18,3",BRC0880B,Nome não encontrado
Potássio,mg,424,254,169,BRC0880B,Nome não encontrado
Manganês,mg,"0,22","0,13","0,09",BRC0880B,Nome não encontrado
Zinco,mg,"0,25","0,15","0,10",BRC0880B,Nome não encontrado
Cobre,mg,"0,14","0,08","0,06",BRC0880B,Nome não encontrado
Selênio,mcg,"1,09","0,66","0,44",BRC0880B,Nome não encontrado
Vitamina A (RE),mcg,796,477,318,BRC0880B,Nome não encontrado
Vitamina A (RAE),mcg,423,254,169,BRC0880B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0880B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,51","0,90","0,60",BRC0880B,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0880B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0880B,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0880B,Nome não encontrado
Vitamina B6,mg,"0,11","0,07","0,04",BRC0880B,Nome não encontrado
Vitamina B12,mcg,"0,01","0,01","0,00",BRC0880B,Nome não encontrado
Vitamina C,mg,"16,4","9,86","6,57",BRC0880B,Nome não encontrado
Equivalente de folato,mcg,"14,0","8,38","5,59",BRC0880B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0880B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0880B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0880B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0880B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0880B,Nome não encontrado
