componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher servir rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,139,55,34,BRC0331B,Nome não encontrado
Energia,kcal,33,13,8,BRC0331B,Nome não encontrado
Umidade,g,"91,3","36,5","22,8",BRC0331B,Nome não encontrado
Carboidrato total,g,"5,42","2,17","1,35",BRC0331B,Nome não encontrado
Carboidrato disponível,g,"3,32","1,33","0,83",BRC0331B,Nome não encontrado
Proteína,g,"1,11","0,44","0,28",BRC0331B,Nome não encontrado
Lipídios,g,"1,26","0,51","0,32",BRC0331B,Nome não encontrado
Fibra alimentar,g,"2,10","0,84","0,52",BRC0331B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0331B,Nome não encontrado
Cinzas,g,"0,91","0,36","0,23",BRC0331B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0331B,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,08","0,05",BRC0331B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,28","0,11","0,07",BRC0331B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,75","0,30","0,19",BRC0331B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0331B,Nome não encontrado
Cálcio,mg,"43,8","17,5","11,0",BRC0331B,Nome não encontrado
Ferro,mg,"0,25","0,10","0,06",BRC0331B,Nome não encontrado
Sódio,mg,130,"52,2","32,6",BRC0331B,Nome não encontrado
Magnésio,mg,"15,6","6,24","3,90",BRC0331B,Nome não encontrado
Fósforo,mg,"20,4","8,18","5,11",BRC0331B,Nome não encontrado
Potássio,mg,298,119,"74,5",BRC0331B,Nome não encontrado
Manganês,mg,"4,48","1,79","1,12",BRC0331B,Nome não encontrado
Zinco,mg,"0,21","0,08","0,05",BRC0331B,Nome não encontrado
Cobre,mg,"0,05","0,02","0,01",BRC0331B,Nome não encontrado
Selênio,mcg,"0,57","0,23","0,14",BRC0331B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0331B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0331B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0331B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,07","0,04",BRC0331B,Nome não encontrado
Tiamina,mg,"0,07","0,03","0,02",BRC0331B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0331B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0331B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,01",BRC0331B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0331B,Nome não encontrado
Vitamina C,mg,"8,66","3,46","2,17",BRC0331B,Nome não encontrado
Equivalente de folato,mcg,"8,74","3,49","2,18",BRC0331B,Nome não encontrado
Sal de adição,g,"0,32","0,13","0,08",BRC0331B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0331B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0331B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0331B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0331B,Nome não encontrado
