componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,91,13,BRC0996B,Nome não encontrado
Energia,kcal,22,3,BRC0996B,Nome não encontrado
Umidade,g,"91,4","13,7",BRC0996B,Nome não encontrado
Carboidrato total,g,"4,33","0,65",BRC0996B,Nome não encontrado
Carboidrato disponível,g,"1,18","0,18",BRC0996B,Nome não encontrado
Proteína,g,"1,79","0,27",BRC0996B,Nome não encontrado
Lipídios,g,"0,40","0,06",BRC0996B,Nome não encontrado
Fibra alimentar,g,"3,15","0,47",BRC0996B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0996B,Nome não encontrado
Cinzas,g,"2,11","0,32",BRC0996B,Nome não encontrado
Colesterol,mg,,,BRC0996B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,02",BRC0996B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,BRC0996B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,02",BRC0996B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0996B,Nome não encontrado
Cálcio,mg,"58,3","8,74",BRC0996B,Nome não encontrado
Ferro,mg,"0,30","0,05",BRC0996B,Nome não encontrado
Sódio,mg,513,"77,1",BRC0996B,Nome não encontrado
Magnésio,mg,"33,7","5,06",BRC0996B,Nome não encontrado
Fósforo,mg,"40,3","6,04",BRC0996B,Nome não encontrado
Potássio,mg,243,"36,6",BRC0996B,Nome não encontrado
Manganês,mg,"10,8","1,62",BRC0996B,Nome não encontrado
Zinco,mg,"0,73","0,11",BRC0996B,Nome não encontrado
Cobre,mg,"0,23","0,03",BRC0996B,Nome não encontrado
Selênio,mcg,"0,60","0,09",BRC0996B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0996B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0996B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0996B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0996B,Nome não encontrado
Tiamina,mg,"0,06","0,01",BRC0996B,Nome não encontrado
Riboflavina,mg,"0,04","0,01",BRC0996B,Nome não encontrado
Niacina,mg,traços,traços,BRC0996B,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0996B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0996B,Nome não encontrado
Vitamina C,mg,"1,98","0,30",BRC0996B,Nome não encontrado
Equivalente de folato,mcg,"38,5","5,78",BRC0996B,Nome não encontrado
Sal de adição,g,,,BRC0996B,Nome não encontrado
Açúcar de adição,g,,,BRC0996B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0996B,Nome não encontrado
Proteína vegetal,g,"1,79","0,27",BRC0996B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0996B,Nome não encontrado
