componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,582,1395,959,BRC0141G,Nome não encontrado
Energia,kcal,138,332,228,BRC0141G,Nome não encontrado
Umidade,g,"71,0",170,117,BRC0141G,Nome não encontrado
Carboidrato total,g,"20,9","50,2","34,5",BRC0141G,Nome não encontrado
Carboidrato disponível,g,"20,6","49,5","34,0",BRC0141G,Nome não encontrado
Proteína,g,"2,39","5,74","3,95",BRC0141G,Nome não encontrado
Lipídios,g,"5,09","12,2","8,39",BRC0141G,Nome não encontrado
Fibra alimentar,g,"0,33","0,78","0,54",BRC0141G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0141G,Nome não encontrado
Cinzas,g,"0,61","1,47","1,01",BRC0141G,Nome não encontrado
Colesterol,mg,"15,2","36,6","25,1",BRC0141G,Nome não encontrado
Ácidos graxos saturados,g,"3,05","7,31","5,03",BRC0141G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,39","3,33","2,29",BRC0141G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,48","0,33",BRC0141G,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,22","0,15",BRC0141G,Nome não encontrado
Cálcio,mg,"78,6",188,129,BRC0141G,Nome não encontrado
Ferro,mg,"0,60","1,44","0,99",BRC0141G,Nome não encontrado
Sódio,mg,"65,9",158,108,BRC0141G,Nome não encontrado
Magnésio,mg,"10,9","26,2","18,0",BRC0141G,Nome não encontrado
Fósforo,mg,"59,3",142,"97,9",BRC0141G,Nome não encontrado
Potássio,mg,128,309,212,BRC0141G,Nome não encontrado
Manganês,mg,"0,28","0,68","0,47",BRC0141G,Nome não encontrado
Zinco,mg,"0,29","0,69","0,47",BRC0141G,Nome não encontrado
Cobre,mg,"0,03","0,07","0,05",BRC0141G,Nome não encontrado
Selênio,mcg,"3,43","8,23","5,66",BRC0141G,Nome não encontrado
Vitamina A (RE),mcg,"67,3",161,110,BRC0141G,Nome não encontrado
Vitamina A (RAE),mcg,"66,2",158,109,BRC0141G,Nome não encontrado
Vitamina D,mcg,"0,79","1,90","1,31",BRC0141G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,19","0,13",BRC0141G,Nome não encontrado
Tiamina,mg,"0,03","0,07","0,05",BRC0141G,Nome não encontrado
Riboflavina,mg,"0,16","0,37","0,26",BRC0141G,Nome não encontrado
Niacina,mg,"0,96","2,31","1,59",BRC0141G,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00",BRC0141G,Nome não encontrado
Vitamina B12,mcg,"0,24","0,58","0,40",BRC0141G,Nome não encontrado
Vitamina C,mg,"0,00","0,01","0,00",BRC0141G,Nome não encontrado
Equivalente de folato,mcg,"10,6","25,4","17,5",BRC0141G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0141G,Nome não encontrado
Açúcar de adição,g,"13,3","32,0","22,0",BRC0141G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0141G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0141G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0141G,Nome não encontrado
