componente,unidade,Valor por 100g,Colher sopa cheia (40 g),Colher sopa rasa (25 g),Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,967,386,241,773,BRC0124G,Nome não encontrado
Energia,kcal,231,92,57,184,BRC0124G,Nome não encontrado
Umidade,g,"54,8","21,9","13,7","43,9",BRC0124G,Nome não encontrado
Carboidrato total,g,"29,1","11,6","7,27","23,3",BRC0124G,Nome não encontrado
Carboidrato disponível,g,"28,8","11,5","7,21","23,1",BRC0124G,Nome não encontrado
Proteína,g,"4,29","1,71","1,07","3,43",BRC0124G,Nome não encontrado
Lipídios,g,"10,9","4,35","2,72","8,69",BRC0124G,Nome não encontrado
Fibra alimentar,g,"0,26","0,11","0,07","0,21",BRC0124G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0124G,Nome não encontrado
Cinzas,g,"0,92","0,37","0,23","0,74",BRC0124G,Nome não encontrado
Colesterol,mg,"55,6","22,2","13,9","44,5",BRC0124G,Nome não encontrado
Ácidos graxos saturados,g,"5,77","2,31","1,44","4,62",BRC0124G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,69","1,08","0,67","2,15",BRC0124G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,33","0,13","0,08","0,26",BRC0124G,Nome não encontrado
Ácidos graxos trans,g,"0,27","0,11","0,07","0,21",BRC0124G,Nome não encontrado
Cálcio,mg,116,"46,8","29,2","93,5",BRC0124G,Nome não encontrado
Ferro,mg,"0,76","0,30","0,19","0,61",BRC0124G,Nome não encontrado
Sódio,mg,"68,6","27,4","17,2","54,9",BRC0124G,Nome não encontrado
Magnésio,mg,"17,7","7,10","4,44","14,2",BRC0124G,Nome não encontrado
Fósforo,mg,123,"49,3","30,8","98,5",BRC0124G,Nome não encontrado
Potássio,mg,199,"79,7","49,8",159,BRC0124G,Nome não encontrado
Manganês,mg,"0,18","0,07","0,05","0,15",BRC0124G,Nome não encontrado
Zinco,mg,"0,55","0,22","0,14","0,44",BRC0124G,Nome não encontrado
Cobre,mg,"0,07","0,03","0,02","0,05",BRC0124G,Nome não encontrado
Selênio,mcg,"6,30","2,52","1,58","5,04",BRC0124G,Nome não encontrado
Vitamina A (RE),mcg,"61,1","24,4","15,3","48,9",BRC0124G,Nome não encontrado
Vitamina A (RAE),mcg,"60,3","24,1","15,1","48,2",BRC0124G,Nome não encontrado
Vitamina D,mcg,"0,44","0,17","0,11","0,35",BRC0124G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,11","0,07","0,22",BRC0124G,Nome não encontrado
Tiamina,mg,"0,13","0,05","0,03","0,10",BRC0124G,Nome não encontrado
Riboflavina,mg,"0,27","0,11","0,07","0,21",BRC0124G,Nome não encontrado
Niacina,mg,"0,79","0,32","0,20","0,63",BRC0124G,Nome não encontrado
Vitamina B6,mg,"0,24","0,10","0,06","0,19",BRC0124G,Nome não encontrado
Vitamina B12,mcg,"0,35","0,14","0,09","0,28",BRC0124G,Nome não encontrado
Vitamina C,mg,"0,49","0,20","0,12","0,39",BRC0124G,Nome não encontrado
Equivalente de folato,mcg,"8,41","3,36","2,10","6,73",BRC0124G,Nome não encontrado
Sal de adição,g,,,,,BRC0124G,Nome não encontrado
Açúcar de adição,g,,,,,BRC0124G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0124G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0124G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0124G,Nome não encontrado
