componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Dose/ Taça (100 mL),codigo_alimento,nome_alimento
Energia,kJ,410,984,676,410,BRC0038H,Nome não encontrado
Energia,kcal,98,236,162,98,BRC0038H,Nome não encontrado
Umidade,g,"83,4",200,137,"83,4",BRC0038H,Nome não encontrado
Carboidrato total,g,"5,51","13,2","9,10","5,51",BRC0038H,Nome não encontrado
Carboidrato disponível,g,"5,51","13,2","9,10","5,51",BRC0038H,Nome não encontrado
Proteína,g,"0,09","0,21","0,14","0,09",BRC0038H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Álcool,g,"10,9","26,1","17,9","10,9",BRC0038H,Nome não encontrado
Cinzas,g,"0,18","0,43","0,30","0,18",BRC0038H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Cálcio,mg,"9,30","22,3","15,3","9,30",BRC0038H,Nome não encontrado
Ferro,mg,"0,52","1,25","0,86","0,52",BRC0038H,Nome não encontrado
Sódio,mg,"5,20","12,5","8,58","5,20",BRC0038H,Nome não encontrado
Magnésio,mg,"6,38","15,3","10,5","6,38",BRC0038H,Nome não encontrado
Fósforo,mg,"8,54","20,5","14,1","8,54",BRC0038H,Nome não encontrado
Potássio,mg,"65,8",157,108,"65,8",BRC0038H,Nome não encontrado
Manganês,mg,"0,23","0,55","0,38","0,23",BRC0038H,Nome não encontrado
Zinco,mg,"0,08","0,19","0,13","0,08",BRC0038H,Nome não encontrado
Cobre,mg,"0,05","0,11","0,07","0,05",BRC0038H,Nome não encontrado
Selênio,mcg,,,,,BRC0038H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,01","0,01",BRC0038H,Nome não encontrado
Riboflavina,mg,"0,03","0,07","0,05","0,03",BRC0038H,Nome não encontrado
Niacina,mg,"0,21","0,49","0,34","0,21",BRC0038H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Equivalente de folato,mcg,,,,,BRC0038H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0038H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
Proteína vegetal,g,"0,09","0,21","0,14","0,09",BRC0038H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0038H,Nome não encontrado
