componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,585,292,644,526,1170,BRC0612A,Nome não encontrado
Energia,kcal,139,69,152,125,277,BRC0612A,Nome não encontrado
Umidade,g,"67,7","33,8","74,4","60,9",135,BRC0612A,Nome não encontrado
Carboidrato total,g,"19,5","9,76","21,5","17,6","39,0",BRC0612A,Nome não encontrado
Carboidrato disponível,g,"18,4","9,18","20,2","16,5","36,7",BRC0612A,Nome não encontrado
Proteína,g,"7,76","3,88","8,53","6,98","15,5",BRC0612A,Nome não encontrado
Lipídios,g,"3,54","1,77","3,89","3,19","7,08",BRC0612A,Nome não encontrado
Fibra alimentar,g,"1,16","0,58","1,28","1,04","2,32",BRC0612A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0612A,Nome não encontrado
Cinzas,g,"1,53","0,77","1,68","1,38","3,06",BRC0612A,Nome não encontrado
Colesterol,mg,"13,8","6,89","15,2","12,4","27,6",BRC0612A,Nome não encontrado
Ácidos graxos saturados,g,"1,49","0,75","1,64","1,34","2,98",BRC0612A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,90","0,45","0,99","0,81","1,79",BRC0612A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,73","0,37","0,81","0,66","1,47",BRC0612A,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,05","0,10","0,08","0,19",BRC0612A,Nome não encontrado
Cálcio,mg,"63,3","31,6","69,6","57,0",126,BRC0612A,Nome não encontrado
Ferro,mg,"0,37","0,18","0,40","0,33","0,73",BRC0612A,Nome não encontrado
Sódio,mg,388,194,426,349,776,BRC0612A,Nome não encontrado
Magnésio,mg,"5,89","2,94","6,47","5,30","11,8",BRC0612A,Nome não encontrado
Fósforo,mg,"95,3","47,7",104,"85,8",190,BRC0612A,Nome não encontrado
Potássio,mg,"99,3","49,7",109,"89,4",198,BRC0612A,Nome não encontrado
Manganês,mg,"0,13","0,06","0,14","0,12","0,26",BRC0612A,Nome não encontrado
Zinco,mg,"0,61","0,30","0,67","0,55","1,21",BRC0612A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,07","0,06","0,12",BRC0612A,Nome não encontrado
Selênio,mcg,"2,50","1,25","2,75","2,25","5,00",BRC0612A,Nome não encontrado
Vitamina A (RE),mcg,"21,9","10,9","24,1","19,7","43,8",BRC0612A,Nome não encontrado
Vitamina A (RAE),mcg,"10,9","5,47","12,0","9,85","21,9",BRC0612A,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,04","0,03","0,08",BRC0612A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,13","0,30","0,24","0,54",BRC0612A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,06","0,05","0,12",BRC0612A,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,04","0,03","0,07",BRC0612A,Nome não encontrado
Niacina,mg,"1,65","0,83","1,82","1,49","3,30",BRC0612A,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03","0,02","0,05",BRC0612A,Nome não encontrado
Vitamina B12,mcg,"0,09","0,04","0,10","0,08","0,17",BRC0612A,Nome não encontrado
Vitamina C,mg,"3,26","1,63","3,59","2,93","6,52",BRC0612A,Nome não encontrado
Equivalente de folato,mcg,"48,6","24,3","53,5","43,8","97,3",BRC0612A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94",BRC0612A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0612A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0612A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0612A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0612A,Nome não encontrado
