componente,unidade,Valor por 100g,Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,262,209,BRC0276T,Nome não encontrado
Energia,kcal,62,49,BRC0276T,Nome não encontrado
Umidade,g,"83,6","66,9",BRC0276T,Nome não encontrado
Carboidrato total,g,"10,5","8,38",BRC0276T,Nome não encontrado
Carboidrato disponível,g,"7,13","5,70",BRC0276T,Nome não encontrado
Proteína,g,"3,79","3,03",BRC0276T,Nome não encontrado
Lipídios,g,"1,33","1,06",BRC0276T,Nome não encontrado
Fibra alimentar,g,"3,34","2,68",BRC0276T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0276T,Nome não encontrado
Cinzas,g,"0,82","0,66",BRC0276T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0276T,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,17",BRC0276T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,24",BRC0276T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,79","0,63",BRC0276T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0276T,Nome não encontrado
Cálcio,mg,"10,4","8,29",BRC0276T,Nome não encontrado
Ferro,mg,"0,89","0,71",BRC0276T,Nome não encontrado
Sódio,mg,180,144,BRC0276T,Nome não encontrado
Magnésio,mg,"13,5","10,8",BRC0276T,Nome não encontrado
Fósforo,mg,"64,6","51,7",BRC0276T,Nome não encontrado
Potássio,mg,143,114,BRC0276T,Nome não encontrado
Manganês,mg,"0,18","0,14",BRC0276T,Nome não encontrado
Zinco,mg,"0,68","0,55",BRC0276T,Nome não encontrado
Cobre,mg,"0,11","0,09",BRC0276T,Nome não encontrado
Selênio,mcg,"0,04","0,03",BRC0276T,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0276T,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0276T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0276T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,21","0,17",BRC0276T,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0276T,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0276T,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0276T,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0276T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0276T,Nome não encontrado
Vitamina C,mg,"0,41","0,33",BRC0276T,Nome não encontrado
Equivalente de folato,mcg,"83,9","67,1",BRC0276T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0276T,Nome não encontrado
Açúcar de adição,g,"0,45","0,36",BRC0276T,Nome não encontrado
Gordura de adição,g,-,-,BRC0276T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0276T,Nome não encontrado
Proteína animal,g,-,-,BRC0276T,Nome não encontrado
