componente,unidade,Valor por 100g,Colher sopa rasa (13 g),codigo_alimento,nome_alimento
Energia,kJ,1427,185,BRC0071R,Nome não encontrado
Energia,kcal,338,43,BRC0071R,Nome não encontrado
Umidade,g,"3,34","0,43",BRC0071R,Nome não encontrado
Carboidrato total,g,"63,7","8,28",BRC0071R,Nome não encontrado
Carboidrato disponível,g,"59,9","7,78",BRC0071R,Nome não encontrado
Proteína,g,"7,30","0,95",BRC0071R,Nome não encontrado
Lipídios,g,"6,90","0,90",BRC0071R,Nome não encontrado
Fibra alimentar,g,"3,80","0,49",BRC0071R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0071R,Nome não encontrado
Cinzas,g,"18,8","2,44",BRC0071R,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0071R,Nome não encontrado
Ácidos graxos saturados,g,"1,81","0,23",BRC0071R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,36","0,18",BRC0071R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,33","0,43",BRC0071R,Nome não encontrado
Ácidos graxos trans,g,,,BRC0071R,Nome não encontrado
Cálcio,mg,143,"18,7",BRC0071R,Nome não encontrado
Ferro,mg,"3,66","0,48",BRC0071R,Nome não encontrado
Sódio,mg,8068,1048,BRC0071R,Nome não encontrado
Magnésio,mg,"60,3","7,84",BRC0071R,Nome não encontrado
Fósforo,mg,211,"27,6",BRC0071R,Nome não encontrado
Potássio,mg,724,"94,2",BRC0071R,Nome não encontrado
Manganês,mg,"0,07","0,01",BRC0071R,Nome não encontrado
Zinco,mg,"1,13","0,15",BRC0071R,Nome não encontrado
Cobre,mg,"0,36","0,05",BRC0071R,Nome não encontrado
Selênio,mcg,"5,02","0,65",BRC0071R,Nome não encontrado
Vitamina A (RE),mcg,"1,50","0,20",BRC0071R,Nome não encontrado
Vitamina A (RAE),mcg,"0,75","0,10",BRC0071R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0071R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,64","0,34",BRC0071R,Nome não encontrado
Tiamina,mg,"0,28","0,04",BRC0071R,Nome não encontrado
Riboflavina,mg,"0,28","0,04",BRC0071R,Nome não encontrado
Niacina,mg,"1,48","0,19",BRC0071R,Nome não encontrado
Vitamina B6,mg,"0,59","0,08",BRC0071R,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0071R,Nome não encontrado
Vitamina C,mg,"3,42","0,44",BRC0071R,Nome não encontrado
Equivalente de folato,mcg,191,"24,8",BRC0071R,Nome não encontrado
Sal de adição,g,,,BRC0071R,Nome não encontrado
Açúcar de adição,g,,,BRC0071R,Nome não encontrado
Gordura de adição,g,,,BRC0071R,Nome não encontrado
Proteína vegetal,g,,,BRC0071R,Nome não encontrado
Proteína animal,g,,,BRC0071R,Nome não encontrado
