componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,669,334,735,601,BRC1101A,Nome não encontrado
Energia,kcal,159,79,174,143,BRC1101A,Nome não encontrado
Umidade,g,"65,9","33,0","72,5","59,3",BRC1101A,Nome não encontrado
Carboidrato total,g,"19,7","9,83","21,6","17,7",BRC1101A,Nome não encontrado
Carboidrato disponível,g,"18,8","9,42","20,7","16,9",BRC1101A,Nome não encontrado
Proteína,g,"8,84","4,42","9,72","7,95",BRC1101A,Nome não encontrado
Lipídios,g,"5,19","2,59","5,70","4,67",BRC1101A,Nome não encontrado
Fibra alimentar,g,"0,84","0,42","0,92","0,75",BRC1101A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC1101A,Nome não encontrado
Cinzas,g,"0,37","0,19","0,41","0,34",BRC1101A,Nome não encontrado
Colesterol,mg,"21,9","11,0","24,1","19,7",BRC1101A,Nome não encontrado
Ácidos graxos saturados,g,"2,76","1,38","3,03","2,48",BRC1101A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,52","0,76","1,67","1,36",BRC1101A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,24","0,12","0,26","0,22",BRC1101A,Nome não encontrado
Ácidos graxos trans,g,"0,17","0,08","0,19","0,15",BRC1101A,Nome não encontrado
Cálcio,mg,"10,7","5,36","11,8","9,64",BRC1101A,Nome não encontrado
Ferro,mg,"0,74","0,37","0,81","0,66",BRC1101A,Nome não encontrado
Sódio,mg,"14,0","7,00","15,4","12,6",BRC1101A,Nome não encontrado
Magnésio,mg,"4,06","2,03","4,46","3,65",BRC1101A,Nome não encontrado
Fósforo,mg,"64,3","32,2","70,8","57,9",BRC1101A,Nome não encontrado
Potássio,mg,"95,8","47,9",105,"86,2",BRC1101A,Nome não encontrado
Manganês,mg,"0,19","0,09","0,20","0,17",BRC1101A,Nome não encontrado
Zinco,mg,"1,56","0,78","1,72","1,41",BRC1101A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,06","0,05",BRC1101A,Nome não encontrado
Selênio,mcg,"1,33","0,66","1,46","1,19",BRC1101A,Nome não encontrado
Vitamina A (RE),mcg,"45,8","22,9","50,4","41,2",BRC1101A,Nome não encontrado
Vitamina A (RAE),mcg,"40,4","20,2","44,4","36,3",BRC1101A,Nome não encontrado
Vitamina D,mcg,"0,06","0,03","0,06","0,05",BRC1101A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,14","0,30","0,25",BRC1101A,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,04","0,03",BRC1101A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,01","0,01",BRC1101A,Nome não encontrado
Niacina,mg,"1,29","0,64","1,42","1,16",BRC1101A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,02","0,02",BRC1101A,Nome não encontrado
Vitamina B12,mcg,"0,28","0,14","0,31","0,25",BRC1101A,Nome não encontrado
Vitamina C,mg,"0,86","0,43","0,95","0,77",BRC1101A,Nome não encontrado
Equivalente de folato,mcg,"51,4","25,7","56,6","46,3",BRC1101A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC1101A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC1101A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC1101A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC1101A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC1101A,Nome não encontrado
