componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,310,743,511,619,BRC0098G,Nome não encontrado
Energia,kcal,73,175,120,146,BRC0098G,Nome não encontrado
Umidade,g,"81,6",195,134,163,BRC0098G,Nome não encontrado
Carboidrato total,g,"13,5","32,4","22,2","27,0",BRC0098G,Nome não encontrado
Carboidrato disponível,g,"13,5","32,4","22,2","27,0",BRC0098G,Nome não encontrado
Proteína,g,"3,32","7,98","5,48","6,65",BRC0098G,Nome não encontrado
Lipídios,g,"0,65","1,56","1,08","1,30",BRC0098G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0098G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0098G,Nome não encontrado
Cinzas,g,"0,90","2,16","1,48","1,80",BRC0098G,Nome não encontrado
Colesterol,mg,"3,15","7,57","5,20","6,31",BRC0098G,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,49","0,34","0,41",BRC0098G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,28","0,19","0,23",BRC0098G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,03","0,02","0,02",BRC0098G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0098G,Nome não encontrado
Cálcio,mg,126,302,208,252,BRC0098G,Nome não encontrado
Ferro,mg,"1,42","3,40","2,34","2,83",BRC0098G,Nome não encontrado
Sódio,mg,"45,4",108,"74,8","90,7",BRC0098G,Nome não encontrado
Magnésio,mg,"59,6",143,"98,4",119,BRC0098G,Nome não encontrado
Fósforo,mg,147,353,242,294,BRC0098G,Nome não encontrado
Potássio,mg,273,657,452,547,BRC0098G,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00",BRC0098G,Nome não encontrado
Zinco,mg,"1,02","2,44","1,68","2,03",BRC0098G,Nome não encontrado
Cobre,mg,"0,02","0,04","0,03","0,03",BRC0098G,Nome não encontrado
Selênio,mcg,,,,,BRC0098G,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0098G,Nome não encontrado
Vitamina A (RAE),mcg,"7,56","18,1","12,5","15,1",BRC0098G,Nome não encontrado
Vitamina D,mcg,"0,82","1,96","1,35","1,64",BRC0098G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,10","0,07","0,08",BRC0098G,Nome não encontrado
Tiamina,mg,"0,04","0,10","0,07","0,08",BRC0098G,Nome não encontrado
Riboflavina,mg,"0,25","0,59","0,41","0,49",BRC0098G,Nome não encontrado
Niacina,mg,"1,48","3,56","2,45","2,96",BRC0098G,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0098G,Nome não encontrado
Vitamina B12,mcg,"0,46","1,11","0,76","0,92",BRC0098G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0098G,Nome não encontrado
Equivalente de folato,mcg,"7,88","18,9","13,0","15,8",BRC0098G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0098G,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0098G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0098G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0098G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0098G,Nome não encontrado
