componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,510,408,229,BRC0227T,Nome não encontrado
Energia,kcal,122,97,55,BRC0227T,Nome não encontrado
Umidade,g,"71,9","57,5","32,4",BRC0227T,Nome não encontrado
Carboidrato total,g,"15,5","12,4","6,98",BRC0227T,Nome não encontrado
Carboidrato disponível,g,"9,34","7,47","4,20",BRC0227T,Nome não encontrado
Proteína,g,"6,65","5,32","2,99",BRC0227T,Nome não encontrado
Lipídios,g,"5,12","4,09","2,30",BRC0227T,Nome não encontrado
Fibra alimentar,g,"6,18","4,94","2,78",BRC0227T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0227T,Nome não encontrado
Cinzas,g,"0,82","0,65","0,37",BRC0227T,Nome não encontrado
Colesterol,mg,"11,9","9,55","5,37",BRC0227T,Nome não encontrado
Ácidos graxos saturados,g,"2,86","2,29","1,29",BRC0227T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,23","0,98","0,55",BRC0227T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,32","0,25","0,14",BRC0227T,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,11","0,06",BRC0227T,Nome não encontrado
Cálcio,mg,"31,2","24,9","14,0",BRC0227T,Nome não encontrado
Ferro,mg,"2,60","2,08","1,17",BRC0227T,Nome não encontrado
Sódio,mg,"9,62","7,70","4,33",BRC0227T,Nome não encontrado
Magnésio,mg,"26,7","21,4","12,0",BRC0227T,Nome não encontrado
Fósforo,mg,147,117,"66,3",BRC0227T,Nome não encontrado
Potássio,mg,"97,5","78,0","43,9",BRC0227T,Nome não encontrado
Manganês,mg,"0,63","0,50","0,28",BRC0227T,Nome não encontrado
Zinco,mg,"1,73","1,38","0,78",BRC0227T,Nome não encontrado
Cobre,mg,"0,33","0,27","0,15",BRC0227T,Nome não encontrado
Selênio,mcg,"2,47","1,97","1,11",BRC0227T,Nome não encontrado
Vitamina A (RE),mcg,"84,4","67,5","38,0",BRC0227T,Nome não encontrado
Vitamina A (RAE),mcg,105,"84,4","47,5",BRC0227T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0227T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,33","0,19",BRC0227T,Nome não encontrado
Tiamina,mg,"0,27","0,21","0,12",BRC0227T,Nome não encontrado
Riboflavina,mg,"0,17","0,14","0,08",BRC0227T,Nome não encontrado
Niacina,mg,"2,20","1,76","0,99",BRC0227T,Nome não encontrado
Vitamina B6,mg,"0,22","0,18","0,10",BRC0227T,Nome não encontrado
Vitamina B12,mcg,"0,04","0,04","0,02",BRC0227T,Nome não encontrado
Vitamina C,mg,"14,4","11,5","6,50",BRC0227T,Nome não encontrado
Equivalente de folato,mcg,"64,1","51,2","28,8",BRC0227T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0227T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0227T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0227T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0227T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0227T,Nome não encontrado
