componente,unidade,Valor por 100g,Concha cheia (200 g),Concha rasa (130 g),codigo_alimento,nome_alimento
Energia,kJ,463,925,601,BRC0892F,Nome não encontrado
Energia,kcal,110,220,143,BRC0892F,Nome não encontrado
Umidade,g,"74,6",149,"97,0",BRC0892F,Nome não encontrado
Carboidrato total,g,"9,58","19,2","12,4",BRC0892F,Nome não encontrado
Carboidrato disponível,g,"7,35","14,7","9,56",BRC0892F,Nome não encontrado
Proteína,g,"12,0","24,0","15,6",BRC0892F,Nome não encontrado
Lipídios,g,"3,13","6,26","4,07",BRC0892F,Nome não encontrado
Fibra alimentar,g,"2,23","4,45","2,89",BRC0892F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0892F,Nome não encontrado
Cinzas,g,"0,64","1,28","0,83",BRC0892F,Nome não encontrado
Colesterol,mg,"98,2",196,127,BRC0892F,Nome não encontrado
Ácidos graxos saturados,g,"1,18","2,35","1,53",BRC0892F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,85","1,70","1,11",BRC0892F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","1,63","1,06",BRC0892F,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,12","0,08",BRC0892F,Nome não encontrado
Cálcio,mg,"38,6","77,2","50,2",BRC0892F,Nome não encontrado
Ferro,mg,"1,50","3,00","1,95",BRC0892F,Nome não encontrado
Sódio,mg,197,394,256,BRC0892F,Nome não encontrado
Magnésio,mg,"24,8","49,6","32,2",BRC0892F,Nome não encontrado
Fósforo,mg,"66,4",132,"86,3",BRC0892F,Nome não encontrado
Potássio,mg,236,472,307,BRC0892F,Nome não encontrado
Manganês,mg,"0,04","0,07","0,05",BRC0892F,Nome não encontrado
Zinco,mg,"1,90","3,80","2,47",BRC0892F,Nome não encontrado
Cobre,mg,"0,29","0,58","0,38",BRC0892F,Nome não encontrado
Selênio,mcg,"16,2","32,3","21,0",BRC0892F,Nome não encontrado
Vitamina A (RE),mcg,"7,69","15,4","10,0",BRC0892F,Nome não encontrado
Vitamina A (RAE),mcg,"3,85","7,69","5,00",BRC0892F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0892F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,50","0,99","0,65",BRC0892F,Nome não encontrado
Tiamina,mg,"0,04","0,09","0,06",BRC0892F,Nome não encontrado
Riboflavina,mg,"0,02","0,03","0,02",BRC0892F,Nome não encontrado
Niacina,mg,"0,93","1,87","1,21",BRC0892F,Nome não encontrado
Vitamina B6,mg,"0,05","0,09","0,06",BRC0892F,Nome não encontrado
Vitamina B12,mcg,"0,19","0,38","0,25",BRC0892F,Nome não encontrado
Vitamina C,mg,"0,96","1,93","1,25",BRC0892F,Nome não encontrado
Equivalente de folato,mcg,"29,7","59,4","38,6",BRC0892F,Nome não encontrado
Sal de adição,g,"0,45","0,90","0,59",BRC0892F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0892F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0892F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0892F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0892F,Nome não encontrado
