componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,286,686,471,BRC0001G,Nome não encontrado
Energia,kcal,68,162,111,BRC0001G,Nome não encontrado
Umidade,g,"84,4",202,139,BRC0001G,Nome não encontrado
Carboidrato total,g,"10,2","24,5","16,8",BRC0001G,Nome não encontrado
Carboidrato disponível,g,"10,1","24,3","16,7",BRC0001G,Nome não encontrado
Proteína,g,"3,01","7,22","4,96",BRC0001G,Nome não encontrado
Lipídios,g,"1,68","4,02","2,77",BRC0001G,Nome não encontrado
Fibra alimentar,g,"0,06","0,14","0,10",BRC0001G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0001G,Nome não encontrado
Cinzas,g,"0,76","1,82","1,25",BRC0001G,Nome não encontrado
Colesterol,mg,"5,37","12,9","8,86",BRC0001G,Nome não encontrado
Ácidos graxos saturados,g,"1,10","2,64","1,82",BRC0001G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,60","1,44","0,99",BRC0001G,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,BRC0001G,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,14","0,10",BRC0001G,Nome não encontrado
Cálcio,mg,"88,6",212,146,BRC0001G,Nome não encontrado
Ferro,mg,traços,traços,traços,BRC0001G,Nome não encontrado
Sódio,mg,"46,3",111,"76,3",BRC0001G,Nome não encontrado
Magnésio,mg,"8,59","20,6","14,2",BRC0001G,Nome não encontrado
Fósforo,mg,"63,1",151,104,BRC0001G,Nome não encontrado
Potássio,mg,"62,3",149,102,BRC0001G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0001G,Nome não encontrado
Zinco,mg,"0,24","0,59","0,40",BRC0001G,Nome não encontrado
Cobre,mg,"0,02","0,05","0,03",BRC0001G,Nome não encontrado
Selênio,mcg,,,,BRC0001G,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0001G,Nome não encontrado
Vitamina A (RAE),mcg,155,373,257,BRC0001G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0001G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,17","0,12",BRC0001G,Nome não encontrado
Tiamina,mg,"0,03","0,06","0,04",BRC0001G,Nome não encontrado
Riboflavina,mg,"0,14","0,33","0,23",BRC0001G,Nome não encontrado
Niacina,mg,"0,33","0,79","0,54",BRC0001G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0001G,Nome não encontrado
Vitamina B12,mcg,"0,31","0,75","0,52",BRC0001G,Nome não encontrado
Vitamina C,mg,"2,05","4,93","3,39",BRC0001G,Nome não encontrado
Equivalente de folato,mcg,"6,04","14,5","9,96",BRC0001G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0001G,Nome não encontrado
Açúcar de adição,g,,,,BRC0001G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0001G,Nome não encontrado
Proteína vegetal,g,,,,BRC0001G,Nome não encontrado
Proteína animal,g,,,,BRC0001G,Nome não encontrado
