componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (20 g),Pedaço/ Unidade/ Fatia (M) (40 g),codigo_alimento,nome_alimento
Energia,kJ,1212,424,242,484,BRC0189F,Nome não encontrado
Energia,kcal,292,102,58,116,BRC0189F,Nome não encontrado
Umidade,g,"50,5","17,7","10,1","20,2",BRC0189F,Nome não encontrado
Carboidrato total,g,"0,45","0,16","0,09","0,18",BRC0189F,Nome não encontrado
Carboidrato disponível,g,"0,45","0,16","0,09","0,18",BRC0189F,Nome não encontrado
Proteína,g,"23,2","8,11","4,63","9,27",BRC0189F,Nome não encontrado
Lipídios,g,"21,9","7,67","4,38","8,76",BRC0189F,Nome não encontrado
Fibra alimentar,g,,,,,BRC0189F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0189F,Nome não encontrado
Cinzas,g,"4,00","1,40","0,80","1,60",BRC0189F,Nome não encontrado
Colesterol,mg,"81,7","28,6","16,3","32,7",BRC0189F,Nome não encontrado
Ácidos graxos saturados,g,"7,00","2,45","1,40","2,80",BRC0189F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"8,70","3,05","1,74","3,48",BRC0189F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,60","0,91","0,52","1,04",BRC0189F,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,01","0,01",BRC0189F,Nome não encontrado
Cálcio,mg,"8,14","2,85","1,63","3,26",BRC0189F,Nome não encontrado
Ferro,mg,"1,01","0,35","0,20","0,40",BRC0189F,Nome não encontrado
Sódio,mg,1455,509,291,582,BRC0189F,Nome não encontrado
Magnésio,mg,"18,8","6,57","3,76","7,51",BRC0189F,Nome não encontrado
Fósforo,mg,209,"73,4","42,0","83,9",BRC0189F,Nome não encontrado
Potássio,mg,426,149,"85,3",170,BRC0189F,Nome não encontrado
Manganês,mg,"0,01","0,00","0,00","0,00",BRC0189F,Nome não encontrado
Zinco,mg,"3,48","1,22","0,70","1,39",BRC0189F,Nome não encontrado
Cobre,mg,"0,07","0,03","0,01","0,03",BRC0189F,Nome não encontrado
Selênio,mcg,,,,,BRC0189F,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0189F,Nome não encontrado
Vitamina A (RAE),mcg,,,,,BRC0189F,Nome não encontrado
Vitamina D,mcg,"1,13","0,39","0,23","0,45",BRC0189F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,72","0,25","0,14","0,29",BRC0189F,Nome não encontrado
Tiamina,mg,"0,40","0,14","0,08","0,16",BRC0189F,Nome não encontrado
Riboflavina,mg,"0,07","0,02","0,01","0,03",BRC0189F,Nome não encontrado
Niacina,mg,"6,60","2,31","1,32","2,64",BRC0189F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0189F,Nome não encontrado
Vitamina B12,mcg,"0,97","0,34","0,19","0,39",BRC0189F,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0189F,Nome não encontrado
Equivalente de folato,mcg,"0,99","0,35","0,20","0,40",BRC0189F,Nome não encontrado
Sal de adição,g,,,,,BRC0189F,Nome não encontrado
Açúcar de adição,g,,,,,BRC0189F,Nome não encontrado
Gordura de adição,g,,,,,BRC0189F,Nome não encontrado
Proteína vegetal,g,,,,,BRC0189F,Nome não encontrado
Proteína animal,g,,,,,BRC0189F,Nome não encontrado
