componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,320,767,527,639,BRC0096G,Nome não encontrado
Energia,kcal,75,181,124,150,BRC0096G,Nome não encontrado
Umidade,g,"81,0",194,133,162,BRC0096G,Nome não encontrado
Carboidrato total,g,"13,8","33,2","22,8","27,7",BRC0096G,Nome não encontrado
Carboidrato disponível,g,"13,8","33,2","22,8","27,7",BRC0096G,Nome não encontrado
Proteína,g,"3,50","8,40","5,78","7,00",BRC0096G,Nome não encontrado
Lipídios,g,"0,67","1,62","1,11","1,35",BRC0096G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0096G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0096G,Nome não encontrado
Cinzas,g,"0,95","2,27","1,56","1,89",BRC0096G,Nome não encontrado
Colesterol,mg,"3,38","8,11","5,58","6,76",BRC0096G,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,49","0,34","0,41",BRC0096G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,28","0,19","0,23",BRC0096G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,03","0,02","0,02",BRC0096G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0096G,Nome não encontrado
Cálcio,mg,134,322,221,268,BRC0096G,Nome não encontrado
Ferro,mg,"1,42","3,40","2,34","2,83",BRC0096G,Nome não encontrado
Sódio,mg,"48,4",116,"79,9","96,9",BRC0096G,Nome não encontrado
Magnésio,mg,"60,2",144,"99,4",120,BRC0096G,Nome não encontrado
Fósforo,mg,152,365,251,304,BRC0096G,Nome não encontrado
Potássio,mg,282,677,466,564,BRC0096G,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00",BRC0096G,Nome não encontrado
Zinco,mg,"1,04","2,50","1,72","2,08",BRC0096G,Nome não encontrado
Cobre,mg,"0,02","0,04","0,03","0,04",BRC0096G,Nome não encontrado
Selênio,mcg,,,,,BRC0096G,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0096G,Nome não encontrado
Vitamina A (RAE),mcg,"8,10","19,4","13,4","16,2",BRC0096G,Nome não encontrado
Vitamina D,mcg,"0,82","1,96","1,35","1,64",BRC0096G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,10","0,07","0,09",BRC0096G,Nome não encontrado
Tiamina,mg,"0,04","0,11","0,07","0,09",BRC0096G,Nome não encontrado
Riboflavina,mg,"0,26","0,63","0,43","0,53",BRC0096G,Nome não encontrado
Niacina,mg,"1,57","3,77","2,59","3,14",BRC0096G,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02","0,02",BRC0096G,Nome não encontrado
Vitamina B12,mcg,"0,49","1,19","0,82","0,99",BRC0096G,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0096G,Nome não encontrado
Equivalente de folato,mcg,"8,21","19,7","13,5","16,4",BRC0096G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0096G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0096G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0096G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0096G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0096G,Nome não encontrado
