componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (6 g),codigo_alimento,nome_alimento
Energia,kJ,839,209,50,BRC0107F,Nome não encontrado
Energia,kcal,201,50,12,BRC0107F,Nome não encontrado
Umidade,g,"63,5","15,9","3,81",BRC0107F,Nome não encontrado
Carboidrato total,g,"0,61","0,15","0,04",BRC0107F,Nome não encontrado
Carboidrato disponível,g,"0,61","0,15","0,04",BRC0107F,Nome não encontrado
Proteína,g,"22,4","5,61","1,35",BRC0107F,Nome não encontrado
Lipídios,g,"12,1","3,02","0,73",BRC0107F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0107F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0107F,Nome não encontrado
Cinzas,g,"1,35","0,34","0,08",BRC0107F,Nome não encontrado
Colesterol,mg,280,"70,1","16,8",BRC0107F,Nome não encontrado
Ácidos graxos saturados,g,"3,50","0,88","0,21",BRC0107F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,26","1,07","0,26",BRC0107F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,59","0,40","0,10",BRC0107F,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,03","0,01",BRC0107F,Nome não encontrado
Cálcio,mg,"8,35","2,09","0,50",BRC0107F,Nome não encontrado
Ferro,mg,"6,53","1,63","0,39",BRC0107F,Nome não encontrado
Sódio,mg,128,"32,1","7,69",BRC0107F,Nome não encontrado
Magnésio,mg,"20,1","5,03","1,21",BRC0107F,Nome não encontrado
Fósforo,mg,275,"68,9","16,5",BRC0107F,Nome não encontrado
Potássio,mg,242,"60,7","14,6",BRC0107F,Nome não encontrado
Manganês,mg,"0,06","0,01","0,00",BRC0107F,Nome não encontrado
Zinco,mg,"3,45","0,86","0,21",BRC0107F,Nome não encontrado
Cobre,mg,"0,30","0,08","0,02",BRC0107F,Nome não encontrado
Selênio,mcg,,,,BRC0107F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0107F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0107F,Nome não encontrado
Vitamina D,mcg,,,,BRC0107F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0107F,Nome não encontrado
Tiamina,mg,"0,20","0,05","0,01",BRC0107F,Nome não encontrado
Riboflavina,mg,"0,19","0,05","0,01",BRC0107F,Nome não encontrado
Niacina,mg,"9,70","2,43","0,58",BRC0107F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0107F,Nome não encontrado
Vitamina B12,mcg,"7,57","1,89","0,45",BRC0107F,Nome não encontrado
Vitamina C,mg,"2,75","0,69","0,16",BRC0107F,Nome não encontrado
Equivalente de folato,mcg,"83,0","20,8","4,98",BRC0107F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0107F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0107F,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0107F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0107F,Nome não encontrado
Proteína animal,g,"22,4","5,61","1,35",BRC0107F,Nome não encontrado
