componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (350 mL),codigo_alimento,nome_alimento
Energia,kJ,165,397,273,579,BRC0028H,Nome não encontrado
Energia,kcal,39,93,64,136,BRC0028H,Nome não encontrado
Umidade,g,"90,2",216,148,315,BRC0028H,Nome não encontrado
Carboidrato total,g,"9,73","23,4","16,1","34,1",BRC0028H,Nome não encontrado
Carboidrato disponível,g,"9,73","23,4","16,1","34,1",BRC0028H,Nome não encontrado
Proteína,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Cinzas,g,"0,05","0,11","0,08","0,16",BRC0028H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Cálcio,mg,"1,59","3,82","2,62","5,57",BRC0028H,Nome não encontrado
Ferro,mg,traços,traços,traços,traços,BRC0028H,Nome não encontrado
Sódio,mg,"8,12","19,5","13,4","28,4",BRC0028H,Nome não encontrado
Magnésio,mg,"0,35","0,84","0,57","1,22",BRC0028H,Nome não encontrado
Fósforo,mg,"3,66","8,78","6,04","12,8",BRC0028H,Nome não encontrado
Potássio,mg,"4,71","11,3","7,78","16,5",BRC0028H,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,BRC0028H,Nome não encontrado
Zinco,mg,traços,traços,traços,traços,BRC0028H,Nome não encontrado
Cobre,mg,traços,traços,traços,traços,BRC0028H,Nome não encontrado
Selênio,mcg,"0,10","0,24","0,17","0,35",BRC0028H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Sal de adição,g,,,,,BRC0028H,Nome não encontrado
Açúcar de adição,g,,,,,BRC0028H,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0028H,Nome não encontrado
