componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,216,43,280,BRC0252E,Nome não encontrado
Energia,kcal,51,10,66,BRC0252E,Nome não encontrado
Umidade,g,"87,9","17,6",114,BRC0252E,Nome não encontrado
Carboidrato total,g,"1,88","0,38","2,44",BRC0252E,Nome não encontrado
Carboidrato disponível,g,"1,50","0,30","1,94",BRC0252E,Nome não encontrado
Proteína,g,"8,12","1,62","10,6",BRC0252E,Nome não encontrado
Lipídios,g,"1,33","0,27","1,72",BRC0252E,Nome não encontrado
Fibra alimentar,g,"0,38","0,08","0,49",BRC0252E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0252E,Nome não encontrado
Cinzas,g,"0,83","0,17","1,08",BRC0252E,Nome não encontrado
Colesterol,mg,"52,5","10,5","68,3",BRC0252E,Nome não encontrado
Ácidos graxos saturados,g,"0,24","0,05","0,32",BRC0252E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,29","0,06","0,37",BRC0252E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,12","0,76",BRC0252E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0252E,Nome não encontrado
Cálcio,mg,"22,4","4,48","29,1",BRC0252E,Nome não encontrado
Ferro,mg,"3,87","0,77","5,03",BRC0252E,Nome não encontrado
Sódio,mg,146,"29,3",190,BRC0252E,Nome não encontrado
Magnésio,mg,"14,0","2,81","18,3",BRC0252E,Nome não encontrado
Fósforo,mg,"78,7","15,7",102,BRC0252E,Nome não encontrado
Potássio,mg,134,"26,9",174,BRC0252E,Nome não encontrado
Manganês,mg,"0,23","0,05","0,30",BRC0252E,Nome não encontrado
Zinco,mg,"0,85","0,17","1,10",BRC0252E,Nome não encontrado
Cobre,mg,"0,36","0,07","0,47",BRC0252E,Nome não encontrado
Selênio,mcg,"6,79","1,36","8,83",BRC0252E,Nome não encontrado
Vitamina A (RE),mcg,"35,9","7,18","46,7",BRC0252E,Nome não encontrado
Vitamina A (RAE),mcg,"23,7","4,74","30,8",BRC0252E,Nome não encontrado
Vitamina D,mcg,"0,09","0,02","0,12",BRC0252E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,59","0,12","0,77",BRC0252E,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04",BRC0252E,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,04",BRC0252E,Nome não encontrado
Niacina,mg,"0,58","0,12","0,76",BRC0252E,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0252E,Nome não encontrado
Vitamina B12,mcg,"1,47","0,29","1,91",BRC0252E,Nome não encontrado
Vitamina C,mg,"11,5","2,29","14,9",BRC0252E,Nome não encontrado
Equivalente de folato,mcg,"12,8","2,56","16,7",BRC0252E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0252E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0252E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0252E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0252E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0252E,Nome não encontrado
