componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (220 g),codigo_alimento,nome_alimento
Energia,kJ,273,599,BRC0025C,Nome não encontrado
Energia,kcal,64,141,BRC0025C,Nome não encontrado
Umidade,g,"82,8",182,BRC0025C,Nome não encontrado
Carboidrato total,g,"16,0","35,1",BRC0025C,Nome não encontrado
Carboidrato disponível,g,"13,8","30,4",BRC0025C,Nome não encontrado
Proteína,g,"0,53","1,16",BRC0025C,Nome não encontrado
Lipídios,g,"0,32","0,69",BRC0025C,Nome não encontrado
Fibra alimentar,g,"2,14","4,71",BRC0025C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0025C,Nome não encontrado
Cinzas,g,"0,35","0,77",BRC0025C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0025C,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,22",BRC0025C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,22",BRC0025C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0025C,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0025C,Nome não encontrado
Cálcio,mg,"9,12","20,1",BRC0025C,Nome não encontrado
Ferro,mg,"0,12","0,26",BRC0025C,Nome não encontrado
Sódio,mg,"0,92","2,02",BRC0025C,Nome não encontrado
Magnésio,mg,"8,72","19,2",BRC0025C,Nome não encontrado
Fósforo,mg,"12,4","27,2",BRC0025C,Nome não encontrado
Potássio,mg,170,375,BRC0025C,Nome não encontrado
Manganês,mg,"0,15","0,33",BRC0025C,Nome não encontrado
Zinco,mg,"0,09","0,21",BRC0025C,Nome não encontrado
Cobre,mg,"0,08","0,18",BRC0025C,Nome não encontrado
Selênio,mcg,"0,60","1,32",BRC0025C,Nome não encontrado
Vitamina A (RE),mcg,288,633,BRC0025C,Nome não encontrado
Vitamina A (RAE),mcg,144,316,BRC0025C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0025C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,73","1,61",BRC0025C,Nome não encontrado
Tiamina,mg,"0,04","0,08",BRC0025C,Nome não encontrado
Riboflavina,mg,"0,04","0,09",BRC0025C,Nome não encontrado
Niacina,mg,traços,traços,BRC0025C,Nome não encontrado
Vitamina B6,mg,"0,03","0,06",BRC0025C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0025C,Nome não encontrado
Vitamina C,mg,"30,3","66,6",BRC0025C,Nome não encontrado
Equivalente de folato,mcg,"44,7","98,4",BRC0025C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0025C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0025C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0025C,Nome não encontrado
Proteína vegetal,g,"0,53","1,16",BRC0025C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0025C,Nome não encontrado
