componente,unidade,Valor por 100g,Colher sopa cheia (36 g),Colher sopa rasa (16 g),Escumadeira cheia (100 g),Escumadeira rasa (70 g),Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,108,38,17,107,75,53,BRC0227B,Nome não encontrado
Energia,kcal,26,9,4,25,18,12,BRC0227B,Nome não encontrado
Umidade,g,"91,8","33,1","14,7","91,8","64,3","45,9",BRC0227B,Nome não encontrado
Carboidrato total,g,"6,67","2,40","1,07","6,67","4,67","3,34",BRC0227B,Nome não encontrado
Carboidrato disponível,g,"4,17","1,50","0,67","4,17","2,92","2,08",BRC0227B,Nome não encontrado
Proteína,g,"0,73","0,26","0,12","0,73","0,51","0,37",BRC0227B,Nome não encontrado
Lipídios,g,"0,13","0,05","0,02","0,13","0,09","0,06",BRC0227B,Nome não encontrado
Fibra alimentar,g,"2,51","0,90","0,40","2,51","1,75","1,25",BRC0227B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0227B,Nome não encontrado
Cinzas,g,"0,65","0,23","0,10","0,65","0,46","0,33",BRC0227B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0227B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,00","0,03","0,02","0,01",BRC0227B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,01","0,00","0,02","0,01","0,01",BRC0227B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,00","0,00","0,01","0,01","0,01",BRC0227B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0227B,Nome não encontrado
Cálcio,mg,"9,12","3,28","1,46","9,12","6,38","4,56",BRC0227B,Nome não encontrado
Ferro,mg,"0,23","0,08","0,04","0,23","0,16","0,11",BRC0227B,Nome não encontrado
Sódio,mg,"0,61","0,22","0,10","0,61","0,43","0,30",BRC0227B,Nome não encontrado
Magnésio,mg,"4,85","1,75","0,78","4,85","3,40","2,43",BRC0227B,Nome não encontrado
Fósforo,mg,"31,0","11,2","4,96","31,0","21,7","15,5",BRC0227B,Nome não encontrado
Potássio,mg,143,"51,8","23,0",143,100,"71,9",BRC0227B,Nome não encontrado
Manganês,mg,"0,07","0,03","0,01","0,07","0,05","0,04",BRC0227B,Nome não encontrado
Zinco,mg,"0,14","0,05","0,02","0,14","0,10","0,07",BRC0227B,Nome não encontrado
Cobre,mg,"0,10","0,03","0,02","0,10","0,07","0,05",BRC0227B,Nome não encontrado
Selênio,mcg,"1,08","0,39","0,17","1,08","0,76","0,54",BRC0227B,Nome não encontrado
Vitamina A (RE),mcg,527,189,"84,4",527,369,263,BRC0227B,Nome não encontrado
Vitamina A (RAE),mcg,263,"94,9","42,2",263,184,131,BRC0227B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0227B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,38","0,50","0,22","1,38","0,97","0,69",BRC0227B,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,traços,BRC0227B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0227B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0227B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,01","0,04","0,03","0,02",BRC0227B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0227B,Nome não encontrado
Vitamina C,mg,"1,48","0,53","0,24","1,48","1,04","0,74",BRC0227B,Nome não encontrado
Equivalente de folato,mcg,"7,79","2,80","1,25","7,79","5,45","3,89",BRC0227B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0227B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0227B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0227B,Nome não encontrado
Proteína vegetal,g,"0,73","0,26","0,12","0,73","0,51","0,37",BRC0227B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0227B,Nome não encontrado
